,variable,column,year,population
1863,New Brunswick,BPLD,1930,13
1864,Indonesia,BPLD,1930,6
1865,Bohemia-Moravia,BPLD,1930,5
1866,Algeria,BPLD,1930,4
1867,New Zealand,BPLD,1930,26
1868,Dalmatia,BPLD,1930,8
1869,Albania,BPLD,1930,9
1870,Prince Edward Island,BPLD,1930,9
1871,Egypt/United Arab Rep.,BPLD,1930,7
1872,Venezuela,BPLD,1930,1
1873,Bermuda,BPLD,1930,5
1874,West Prussia,BPLD,1930,1
1875,Schleswig,BPLD,1930,5
1876,Colombia,BPLD,1930,4
1877,Iran,BPLD,1930,5
1878,Jersey,BPLD,1930,5
1879,Bahamas,BPLD,1930,2
1880,Byelorussia,BPLD,1930,14
1881,Ukraine,BPLD,1930,49
1882,"Asia, nec/ns",BPLD,1930,4
1883,Israel/Palestine,BPLD,1930,2
1884,Iceland,BPLD,1930,1
1885,Trinidad and Tobago,BPLD,1930,3
1886,Guatemala,BPLD,1930,2
1887,Montenegro,BPLD,1930,12
1888,Baden,BPLD,1930,3
1889,Hanover,BPLD,1930,5
1890,Honduras,BPLD,1930,4
1891,Alsace,BPLD,1930,5
1892,At sea (US citizen),BPLD,1930,1
1893,East Indies,BPLD,1930,6
1894,At sea or abroad (U.S. citizen),BPLD,1930,4
1895,At sea,BPLD,1930,3
1896,Posen,BPLD,1930,1
1897,St. Kitts-Nevis,BPLD,1930,1
1898,Lubeck,BPLD,1930,1
1899,"Europe, ns.",BPLD,1930,25
1900,"United Kingdom, ns",BPLD,1930,3
1901,Canal Zone,BPLD,1930,4
1902,U.S. Virgin Islands,BPLD,1930,7
1903,Guyana/British Guiana,BPLD,1930,1
1904,Peru,BPLD,1930,4
1905,"Micronesia, ns",BPLD,1930,1
1906,Manitoba,BPLD,1930,1
1907,Zimbabwe,BPLD,1930,1
1908,South America,BPLD,1930,1
1909,Antigua-Barbuda,BPLD,1930,1
1910,"Southwest Asia, nec/ns",BPLD,1930,2
1911,Madeira Islands,BPLD,1930,1
1912,Costa Rica,BPLD,1930,6
1913,Transylvania,BPLD,1930,1
1914,Sri Lanka (Ceylon),BPLD,1930,1
1915,Austria-Tyrol,BPLD,1930,14
1916,Thailand,BPLD,1930,1
1917,Silesia,BPLD,1930,5
1918,Westphalia,BPLD,1930,1
1919,Falkland Islands,BPLD,1930,2
1920,Wurttemberg,BPLD,1930,3
1921,Pacific Islands,BPLD,1930,1
1922,Uruguay,BPLD,1930,1
1923,Bessarabia,BPLD,1930,1
1924,Greenland,BPLD,1930,2
1925,Suriname,BPLD,1930,1
1926,Congo,BPLD,1930,1
1927,Zaire,BPLD,1930,1
1928,Lorraine,BPLD,1930,1
1929,Oldenburg,BPLD,1930,1
1930,Lebanon,BPLD,1930,1
1931,Israel,BPLD,1930,1
1932,Afghanistan,BPLD,1930,2
1933,El Salvador,BPLD,1930,1
1934,Abroad (unknown) or at sea,BPLD,1930,1
1935,Pomerania,BPLD,1930,1
1936,Nebraska,BPLD,1940,58094
1937,Colorado,BPLD,1940,525446
1938,Pennsylvania,BPLD,1940,12901
1939,Illinois,BPLD,1940,41670
1940,Wisconsin,BPLD,1940,8524
1941,Iowa,BPLD,1940,42152
1942,Louisiana,BPLD,1940,1776
1943,Missouri,BPLD,1940,64400
1944,North Dakota,BPLD,1940,2371
1945,Oklahoma,BPLD,1940,25636
1946,New York,BPLD,1940,11201
1947,Kansas,BPLD,1940,79388
1948,Poland,BPLD,1940,1812
1949,Romania,BPLD,1940,323
1950,Wyoming,BPLD,1940,7372
1951,South Carolina,BPLD,1940,558
1952,Georgia,BPLD,1940,2222
1953,Sweden,BPLD,1940,5888
1954,Kentucky,BPLD,1940,9442
1955,Ohio,BPLD,1940,15772
1956,New Jersey,BPLD,1940,1977
1957,Germany,BPLD,1940,7024
1958,Hungary,BPLD,1940,671
1959,Lithuania,BPLD,1940,213
1960,Texas,BPLD,1940,19657
1961,New Mexico,BPLD,1940,26309
1962,Other USSR/Russia,BPLD,1940,11255
1963,Indiana,BPLD,1940,14868
1964,California,BPLD,1940,5852
1965,Michigan,BPLD,1940,8036
1966,Virginia,BPLD,1940,2686
1967,Norway,BPLD,1940,953
1968,Minnesota,BPLD,1940,7264
1969,Argentina,BPLD,1940,82
1970,Switzerland,BPLD,1940,853
1971,Denmark,BPLD,1940,1856
1972,Canada,BPLD,1940,1444
1973,Connecticut,BPLD,1940,1136
1974,Washington,BPLD,1940,2132
1975,South Dakota,BPLD,1940,5412
1976,Florida,BPLD,1940,763
1977,Oregon,BPLD,1940,1671
1978,Alabama,BPLD,1940,2695
1979,North Carolina,BPLD,1940,1921
1980,Italy,BPLD,1940,8448
1981,Tennessee,BPLD,1940,6073
1982,Arkansas,BPLD,1940,9959
1983,Ireland,BPLD,1940,2139
1984,Maine,BPLD,1940,986
1985,Japan,BPLD,1940,914
1986,Brazil,BPLD,1940,50
1987,West Virginia,BPLD,1940,2923
1988,Guam,BPLD,1940,85
1989,Netherlands,BPLD,1940,679
1990,Vermont,BPLD,1940,681
1991,Maryland,BPLD,1940,1145
1992,Scotland,BPLD,1940,2083
1993,Arizona,BPLD,1940,1606
1994,Montana,BPLD,1940,3065
1995,English Canada,BPLD,1940,2380
1996,Mexico,BPLD,1940,6466
1997,Delaware,BPLD,1940,205
1998,England,BPLD,1940,4744
1999,Belgium,BPLD,1940,342
2000,Philippines,BPLD,1940,218
2001,Idaho,BPLD,1940,2086
2002,Utah,BPLD,1940,5649
2003,Massachusetts,BPLD,1940,2658
2004,Bulgaria,BPLD,1940,222
2005,Hawaii,BPLD,1940,85
2006,Mississippi,BPLD,1940,2179
2007,Greece,BPLD,1940,1037
2008,Austria,BPLD,1940,3127
2009,"United States, ns",BPLD,1940,150
2010,Wales,BPLD,1940,580
2011,Northern Ireland,BPLD,1940,392
2012,Finland,BPLD,1940,413
2013,France,BPLD,1940,765
2014,Czechoslovakia,BPLD,1940,728
2015,Nevada,BPLD,1940,439
2016,District of Columbia,BPLD,1940,519
2017,French Canada,BPLD,1940,334
2018,Yugoslavia,BPLD,1940,2120
2019,Bohemia,BPLD,1940,184
2020,Puerto Rico,BPLD,1940,29
2021,Panama,BPLD,1940,12
2022,Turkey,BPLD,1940,80
2023,Rhode Island,BPLD,1940,282
2024,Nova Scotia,BPLD,1940,141
2025,China,BPLD,1940,145
2026,Indian Territory,BPLD,1940,78
2027,Honduras,BPLD,1940,11
2028,New Hampshire,BPLD,1940,350
2029,Austria-Hungary,BPLD,1940,84
2030,Slovenia,BPLD,1940,10
2031,Slovakia,BPLD,1940,115
2032,Korea,BPLD,1940,12
2033,Croatia,BPLD,1940,54
2034,Spain,BPLD,1940,164
2035,Canal Zone,BPLD,1940,16
2036,At sea,BPLD,1940,26
2037,India,BPLD,1940,48
2038,Siberia,BPLD,1940,4
2039,Bahamas,BPLD,1940,7
2040,Australia,BPLD,1940,93
2041,Alaska,BPLD,1940,48
2042,Syria,BPLD,1940,167
2043,U.S. Virgin Islands,BPLD,1940,4
2044,Austria-Vienna,BPLD,1940,11
2045,Palestine,BPLD,1940,29
2046,Serbia,BPLD,1940,26
2047,"West Indies, ns",BPLD,1940,8
2048,Hamburg,BPLD,1940,6
2049,"South America, ns",BPLD,1940,67
2050,Luxembourg,BPLD,1940,50
2051,Ecuador,BPLD,1940,3
2052,"Europe, ns.",BPLD,1940,13
2053,American Samoa,BPLD,1940,2
2054,Portugal,BPLD,1940,14
2055,Latvia,BPLD,1940,38
2056,New Brunswick,BPLD,1940,6
2057,Egypt/United Arab Rep.,BPLD,1940,8
2058,Saxony,BPLD,1940,3
2059,Africa,BPLD,1940,10
2060,Cuba,BPLD,1940,23
2061,Iran,BPLD,1940,7
2062,Ontario/Upper Canada,BPLD,1940,42
2063,Bavaria,BPLD,1940,18
2064,New Zealand,BPLD,1940,28
2065,Malta,BPLD,1940,1
2066,Alsace-Lorraine,BPLD,1940,28
2067,Isle of Man,BPLD,1940,24
2068,"Eastern Europe, ns",BPLD,1940,1
2069,"United Kingdom, ns",BPLD,1940,11
2070,Liberia,BPLD,1940,4
2071,British Columbia,BPLD,1940,13
2072,Macedonia,BPLD,1940,11
2073,German Poland,BPLD,1940,3
2074,South Africa (Union of),BPLD,1940,25
2075,Alsace,BPLD,1940,7
2076,British West Indies,BPLD,1940,8
2077,Bohemia-Moravia,BPLD,1940,11
2078,Newfoundland,BPLD,1940,24
2079,Colombia,BPLD,1940,20
2080,Armenia,BPLD,1940,26
2081,Peru,BPLD,1940,4
2082,Iceland,BPLD,1940,2
2083,Dakota Territory,BPLD,1940,4
2084,"North America, ns",BPLD,1940,2
2085,"Prussia, nec",BPLD,1940,17
2086,Chile,BPLD,1940,17
2087,Barbados,BPLD,1940,5
2088,Albania,BPLD,1940,16
2089,Brandenburg,BPLD,1940,1
2090,Berlin,BPLD,1940,3
2091,Austrian Poland,BPLD,1940,1
2092,Hohenzollern,BPLD,1940,1
2093,Manitoba,BPLD,1940,1
2094,Jamaica,BPLD,1940,4
2095,"Central Europe, ns",BPLD,1940,3
2096,East Indies,BPLD,1940,1
2097,Schleswig,BPLD,1940,1
2098,Quebec,BPLD,1940,11
2099,Comoros,BPLD,1940,1
2100,Jersey,BPLD,1940,7
2101,Alberta,BPLD,1940,5
2102,Austria-Tyrol,BPLD,1940,11
2103,"USSR, ns",BPLD,1940,4
2104,Russian Poland,BPLD,1940,8
2105,Botswana,BPLD,1940,1
2106,Prince Edward Island,BPLD,1940,11
2107,Sudan,BPLD,1940,1
2108,"Asia, nec/ns",BPLD,1940,4
2109,Burma (Myanmar),BPLD,1940,4
2110,Estonia,BPLD,1940,8
2111,Dominica,BPLD,1940,1
2112,Costa Rica,BPLD,1940,2
2113,Falkland Islands,BPLD,1940,2
2114,"Western Africa, ns",BPLD,1940,1
2115,Montenegro,BPLD,1940,7
2116,Morocco,BPLD,1940,3
2117,Saudi Arabia,BPLD,1940,1
2118,Guatemala,BPLD,1940,4
2119,Aruba,BPLD,1940,1
2120,Trinidad and Tobago,BPLD,1940,15
2121,Saskatchewan,BPLD,1940,2
2122,South America,BPLD,1940,1
2123,Guernsey,BPLD,1940,1
2124,Dalmatia,BPLD,1940,1
2125,Ukraine,BPLD,1940,4
2126,"Asia Minor, ns",BPLD,1940,3
2127,Uruguay,BPLD,1940,1
2128,Bolivia,BPLD,1940,1
2129,Nicaragua,BPLD,1940,4
2130,Bosnia,BPLD,1940,2
2131,Papua New Guinea,BPLD,1940,1
2132,At sea or abroad (U.S. citizen),BPLD,1940,1
2133,"Central America, ns",BPLD,1940,2
2134,Baden,BPLD,1940,1
2135,Lebanon,BPLD,1940,5
2136,Galicia,BPLD,1940,1
2137,Netherlands Antilles,BPLD,1940,2
2138,Indonesia,BPLD,1940,2
2139,Bremen,BPLD,1940,1
2140,Cyprus,BPLD,1940,1
2141,Guyana/British Guiana,BPLD,1940,1
2142,Venezuela,BPLD,1940,3
2143,St. Lucia,BPLD,1940,2
2144,Bermuda,BPLD,1940,2
2145,Swaziland,BPLD,1940,2
2146,West Indies,BPLD,1940,1
2147,Algeria,BPLD,1940,4
2148,Lesotho,BPLD,1940,1
2149,Singapore,BPLD,1940,1
2150,Christmas Island,BPLD,1940,1
2151,"Dutch Caribbean, ns",BPLD,1940,1
2152,Oman,BPLD,1940,1
2153,Canada East,BPLD,1940,1
2154,"Native born, and father foreign, mother native",NATIVITY,1870,872
2155,"Native born, and both parents native born",NATIVITY,1870,28857
2156,"Native born, and both parents foreign",NATIVITY,1870,2951
2157,Foreign born,NATIVITY,1870,6471
2158,"Native born, and mother foreign, father native",NATIVITY,1870,531
2159,nan,NATIVITY,1870,144
2160,Foreign born,NATIVITY,1880,39885
2161,"Native born, and mother foreign, father native",NATIVITY,1880,4287
2162,"Native born, and both parents native born",NATIVITY,1880,117836
2163,"Native born, and both parents foreign",NATIVITY,1880,24410
2164,"Native born, and father foreign, mother native",NATIVITY,1880,8070
2165,Foreign born,NATIVITY,1900,92803
2166,"Native born, and both parents foreign",NATIVITY,1900,83069
2167,"Native born, and father foreign, mother native",NATIVITY,1900,32070
2168,"Native born, and both parents native born",NATIVITY,1900,314838
2169,"Native born, and mother foreign, father native",NATIVITY,1900,16791
2170,"Native born, and both parents foreign",NATIVITY,1910,118806
2171,"Native born, and both parents native born",NATIVITY,1910,482212
2172,Foreign born,NATIVITY,1910,132210
2173,"Native born, and father foreign, mother native",NATIVITY,1910,45879
2174,"Native born, and mother foreign, father native",NATIVITY,1910,23923
2175,"Native born, and both parents native born",NATIVITY,1920,612919
2176,"Native born, and father foreign, mother native",NATIVITY,1920,51337
2177,Foreign born,NATIVITY,1920,121475
2178,"Native born, and both parents foreign",NATIVITY,1920,130082
2179,"Native born, and mother foreign, father native",NATIVITY,1920,26042
2180,"Native born, and both parents native born",NATIVITY,1930,712376
2181,"Native born, and mother foreign, father native",NATIVITY,1930,26988
2182,Foreign born,NATIVITY,1930,101434
2183,"Native born, and both parents foreign",NATIVITY,1930,137053
2184,"Native born, and father foreign, mother native",NATIVITY,1930,58313
2185,"Native born, and both parents native born",NATIVITY,1940,42317
2186,nan,NATIVITY,1940,1069178
2187,"Native born, and both parents foreign",NATIVITY,1940,5932
2188,"Native born, and father foreign, mother native",NATIVITY,1940,2954
2189,Foreign born,NATIVITY,1940,3722
2190,"Native born, and mother foreign, father native",NATIVITY,1940,1296
