,Missouri,New York,Colorado,Pennsylvania,Delaware,Ohio,Indiana,Germany,Ireland,Illinois,Massachusetts,Maine,Austria,New Mexico,Kansas,England,Nebraska,New Jersey,Maryland,Connecticut,Tennessee,Virginia,Kentucky,Wisconsin,Louisiana,Canada,Utah,Iowa,Michigan,Mexico,Scotland,North Carolina,Texas,Mississippi,Other USSR/Russia,New Hampshire,France,China,Vermont,Switzerland,Italy,Washington,Wyoming,Sweden,South Carolina,Wales,California,Georgia,District of Columbia,Netherlands,Czechoslovakia,Belgium,Denmark,Rhode Island,"United States, ns",Alabama,Poland,Arkansas,Florida,AFRICA,West Indies,Norway,Cuba,Minnesota,Abroad (unknown) or at sea,Japan,Montana,West Virginia,SOUTH AMERICA,Australia and New Zealand,Finland,Oklahoma,Oregon,"Europe, ns",Nevada,Portugal,Spain,Arizona,Hawaii,India,South Dakota,Idaho,Hungary,Central America,Greece,Iceland,Syria,North Dakota,Indonesia,U.S. Virgin Islands,Romania,Turkey,Pacific Islands,Yugoslavia,Bulgaria,"Southwest Asia, nec/ns",Philippines,Lebanon,Latvia,Lithuania,Native American,Israel/Palestine,Missing/blank,Korea
1907,43131.740999999674,23234.74399999987,207660.83399999648,22084.784999999887,337.978,28976.371999999832,16078.089999999926,16526.847999999933,9623.83299999999,49767.735999999655,4669.577000000002,2632.6520000000005,9258.376999999975,13482.331999999948,30886.388999999785,14561.73399999995,19728.97199999987,2940.0550000000007,1710.8720000000005,1774.5860000000005,6123.148000000002,4988.963000000002,8786.067999999992,10941.298999999974,912.0210000000002,11327.863999999974,2426.0750000000007,38212.2319999997,9782.79999999998,1567.2870000000005,4743.629000000001,3076.467000000001,5320.468000000002,1140.5310000000002,12966.391999999934,876.9540000000001,571.83,854.0925000000003,2504.2230000000013,1368.5270000000003,11309.121999999958,989.8590000000002,2142.0140000000006,12863.395999999957,309.91499999999996,1920.2610000000006,2477.119000000001,2294.0780000000004,480.08799999999985,544.326,1432.5165,199.779,3324.782000000001,659.6820000000002,1385.1060000000004,2025.7650000000006,309.5,3583.260000000001,241.94400000000002,68.6695,,1587.0310000000004,195.65000000000003,3481.513000000001,323.1929999999999,710.4270000000002,724.2570000000001,2677.482000000001,280.22299999999996,72.6565,931.8680000000002,3087.100000000001,506.205,390.27799999999996,212.505,65.541,541.11975,351.3219999999999,136.0395,61.4406,3344.634000000001,288.892,800.347,65.05499999999999,632.7420000000001,,349.9000000000001,354.47399999999993,,,,,,,,,,,,,,,,
1908,44602.40399999963,23569.155999999854,216655.89599999605,22109.319999999872,320.932,29117.947999999804,16407.719999999917,16635.18199999992,9666.741999999987,51273.31399999959,4595.058000000002,2663.428000000001,9948.977999999972,14026.987999999941,32279.655999999748,14536.295999999944,20969.037999999855,2916.170000000001,1762.0680000000007,1804.5440000000006,6472.4320000000025,5166.532000000002,8893.101999999992,11142.635999999971,894.8540000000002,11328.635999999971,2238.870000000001,40223.17799999966,10131.269999999977,1761.9580000000005,4644.426,3270.048000000001,5578.762000000002,1190.614,13926.897999999926,943.1860000000001,596.35,811.8100000000003,2601.7120000000014,1390.4180000000003,12081.047999999952,1090.1660000000002,2264.6260000000007,13141.13399999995,278.32,2068.9840000000004,2535.8360000000007,2366.0020000000004,487.3819999999999,578.014,1479.7659999999998,204.89600000000002,3555.108000000001,726.6280000000002,1497.0840000000005,2139.3200000000006,254.14,3823.040000000001,233.006,70.67800000000001,,1727.3140000000005,202.14333333333337,3707.402000000001,334.9786666666666,736.5546666666669,769.6780000000001,2860.638000000001,306.33199999999994,74.04599999999999,884.1820000000001,3444.460000000001,552.5999999999999,403.6053333333333,213.38,67.59733333333334,560.5989999999999,379.3679999999999,141.008,63.1584,3592.246000000001,288.20799999999997,844.308,67.27333333333333,708.6680000000001,,385.4200000000001,379.73599999999993,,,,,,,,,,,,,,,,
1909,46073.06699999958,23903.567999999832,225650.9579999956,22133.854999999858,303.88599999999997,29259.523999999776,16737.349999999908,16743.515999999912,9709.650999999987,52778.89199999953,4520.539000000002,2694.2040000000006,10639.578999999969,14571.643999999935,33672.92299999972,14510.857999999937,22209.10399999984,2892.2850000000008,1813.2640000000006,1834.5020000000006,6821.716000000002,5344.101000000002,9000.135999999991,11343.972999999967,877.6870000000002,11329.407999999969,2051.665000000001,42234.12399999962,10479.739999999974,1956.6290000000006,4545.223000000001,3463.6290000000013,5837.056000000002,1240.6970000000001,14887.403999999917,1009.4180000000001,620.87,769.5275000000003,2699.2010000000014,1412.3090000000004,12852.973999999946,1190.4730000000002,2387.2380000000007,13418.871999999943,246.72499999999997,2217.7070000000003,2594.553000000001,2437.926000000001,494.6759999999999,611.702,1527.0155,210.013,3785.434000000001,793.5740000000003,1609.0620000000006,2252.875000000001,198.77999999999997,4062.820000000001,224.06799999999998,72.68650000000001,,1867.5970000000007,208.6366666666667,3933.291000000001,346.76433333333324,762.6823333333335,815.0990000000002,3043.7940000000012,332.4409999999999,75.43549999999999,836.4960000000001,3801.820000000001,598.9949999999999,416.93266666666665,214.255,69.65366666666667,580.0782499999999,407.4139999999999,145.97650000000002,64.8762,3839.858000000001,287.524,888.269,69.49166666666666,784.5940000000002,,420.94000000000005,404.99799999999993,,,,,,,,,,,,,,,,
1910,47543.72999999953,24237.97999999981,234646.01999999513,22158.38999999984,286.84,29401.099999999748,17066.979999999898,16851.8499999999,9752.559999999985,54284.469999999455,4446.020000000001,2724.980000000001,11330.179999999966,15116.299999999928,35066.18999999968,14485.41999999993,23449.16999999982,2868.400000000001,1864.4600000000007,1864.4600000000007,7171.000000000003,5521.670000000003,9107.169999999991,11545.309999999963,860.5200000000002,11330.179999999966,1864.4600000000007,44245.06999999957,10828.209999999972,2151.3000000000006,4446.020000000001,3657.2100000000014,6095.350000000002,1290.7800000000002,15847.909999999909,1075.65,645.39,727.2450000000002,2796.6900000000014,1434.2000000000005,13624.89999999994,1290.7800000000002,2509.850000000001,13696.609999999937,215.13,2366.4300000000007,2653.270000000001,2509.850000000001,501.96999999999986,645.39,1574.2649999999999,215.13,4015.760000000001,860.5200000000002,1721.0400000000006,2366.4300000000007,143.42,4302.600000000001,215.13,74.69500000000001,,2007.8800000000006,215.13,4159.180000000001,358.5499999999999,788.8100000000002,860.5200000000002,3226.950000000001,358.5499999999999,76.825,788.8100000000002,4159.180000000001,645.39,430.25999999999993,215.13,71.71,599.5575,435.45999999999987,150.945,66.594,4087.470000000001,286.84,932.23,71.71,860.5200000000002,,456.4600000000001,430.25999999999993,,71.71,286.84,215.13,143.42,430.25999999999993,71.71,71.71,,,,,,,,
1911,49352.81699999957,23580.846999999827,242952.23599999506,21872.475999999853,277.54549999999995,29216.51299999977,17634.908999999905,16356.47799999991,9353.810999999987,53962.861999999506,4342.556000000001,2548.859000000001,10787.58199999997,15308.071999999935,36971.067999999716,14038.806999999937,24841.016999999843,2827.652000000001,1849.7030000000007,1804.5630000000006,7089.842000000002,5440.179000000003,9384.267999999991,11343.812999999966,963.9020000000002,11555.334999999966,1931.4520000000007,44182.76399999962,10699.975999999975,3314.169000000001,4240.627000000001,3585.286000000001,6567.127000000003,1337.084,15847.715999999913,1085.6460000000002,715.004,684.9625000000003,2632.0330000000013,1498.6480000000004,13625.470999999945,1331.9130000000002,2611.2880000000005,13252.952999999943,224.249,2255.8680000000004,2801.610000000001,2519.2490000000007,527.4409999999999,658.869,1621.5145,232.611,4105.814000000001,835.3520000000002,2114.8490000000006,2312.919000000001,248.16899999999993,4676.5030000000015,256.177,76.7035,,1944.5660000000005,209.421,4397.334000000002,411.2874999999999,881.7900000000002,913.2930000000001,3291.622000000001,370.9074999999999,78.2145,824.2300000000001,5170.433,704.747,413.7944999999999,238.137,74.53,619.03675,501.4799999999999,155.9135,68.3118,3934.773000000001,444.15599999999995,888.5120000000001,72.65299999999999,851.2240000000002,,491.98000000000013,455.19899999999996,,,268.147,203.608,,478.60799999999995,273.19500000000005,,,,,,,,,
1912,51161.903999999624,22923.713999999844,251258.45199999498,21586.561999999867,268.251,29031.92599999979,18202.837999999916,15861.10599999992,8955.061999999989,53641.25399999956,4239.0920000000015,2372.7380000000007,10244.983999999973,15499.84399999994,38875.94599999975,13592.193999999943,26232.86399999987,2786.904000000001,1834.9460000000006,1744.6660000000006,7008.684000000003,5358.688000000003,9661.365999999993,11142.31599999997,1067.284,11780.489999999969,1998.4440000000006,44120.457999999664,10571.741999999977,4477.038000000001,4035.234000000001,3513.362000000001,7038.904000000003,1383.3880000000001,15847.521999999917,1095.642,784.6179999999999,642.6800000000003,2467.376000000001,1563.0960000000005,13626.04199999995,1373.046,2712.7260000000006,12809.295999999948,233.368,2145.3060000000005,2949.9500000000007,2528.6480000000006,552.9119999999999,672.3480000000001,1668.764,250.09199999999998,4195.868000000001,810.1840000000002,2508.6580000000004,2259.4080000000004,352.9179999999999,5050.406000000003,297.224,78.712,,1881.2520000000004,203.712,4635.488000000002,464.025,974.7700000000001,966.0660000000001,3356.2940000000012,383.26499999999993,79.604,859.6500000000001,6181.685999999999,764.1039999999999,397.32899999999995,261.144,77.35,638.516,567.4999999999999,160.882,70.0296,3782.076000000001,601.472,844.794,73.59599999999999,841.9280000000001,,527.5000000000001,480.1379999999999,,,249.45399999999998,192.08599999999998,,526.9559999999999,474.68000000000006,,,,,,,,,
1913,52970.99099999967,22266.580999999856,259564.66799999494,21300.64799999988,258.9565,28847.33899999981,18770.766999999923,15365.73399999993,8556.312999999991,53319.64599999961,4135.6280000000015,2196.6170000000006,9702.385999999977,15691.615999999944,40780.82399999978,13145.580999999951,27624.710999999894,2746.156000000001,1820.1890000000005,1684.7690000000005,6927.526000000003,5277.197000000002,9938.463999999993,10940.818999999974,1170.6660000000002,12005.644999999971,2065.4360000000006,44058.15199999971,10443.50799999998,5639.907000000001,3829.841000000001,3441.4380000000006,7510.681000000004,1429.692,15847.327999999921,1105.638,854.232,600.3975000000003,2302.719000000001,1627.5440000000003,13626.612999999956,1414.179,2814.164,12365.638999999954,242.487,2034.7440000000004,3098.290000000001,2538.0470000000005,578.3829999999999,685.827,1716.0134999999998,267.573,4285.922000000001,785.0160000000002,2902.4670000000006,2205.8970000000004,457.6669999999998,5424.309000000003,338.271,80.7205,,1817.9380000000003,198.003,4873.642000000002,516.7625,1067.75,1018.839,3420.9660000000013,395.62249999999995,80.9935,895.07,7192.938999999998,823.4609999999998,380.86349999999993,284.15099999999995,80.16999999999999,657.9952499999999,633.52,165.8505,71.7474,3629.379000000001,758.788,801.076,74.53899999999999,832.6320000000001,,563.0200000000001,505.07699999999994,,,230.76099999999997,180.564,,575.304,676.1650000000002,,,,,,,,,
1914,54780.07799999972,21609.447999999873,267870.88399999484,21014.733999999895,249.66199999999998,28662.751999999833,19338.695999999934,14870.36199999994,8157.563999999992,52998.03799999966,4032.164000000001,2020.4960000000005,9159.78799999998,15883.38799999995,42685.701999999816,12698.967999999957,29016.557999999917,2705.408000000001,1805.4320000000005,1624.8720000000005,6846.368000000003,5195.706000000002,10215.561999999994,10739.321999999976,1274.0480000000002,12230.799999999972,2132.4280000000003,43995.84599999976,10315.273999999981,6802.776000000002,3624.4480000000003,3369.5140000000006,7982.458000000004,1475.9959999999999,15847.133999999925,1115.634,923.846,558.1150000000002,2138.062000000001,1691.9920000000002,13627.183999999961,1455.3120000000001,2915.602,11921.98199999996,251.606,1924.1820000000002,3246.630000000001,2547.4460000000004,603.854,699.306,1763.263,285.054,4375.9760000000015,759.8480000000002,3296.276,2152.3860000000004,562.4159999999998,5798.212000000003,379.318,82.729,,1754.6240000000003,192.29399999999998,5111.796000000002,569.5,1160.73,1071.612,3485.6380000000013,407.9799999999999,82.383,930.49,8204.191999999995,882.8179999999998,364.3979999999999,307.158,82.99,677.4744999999999,699.54,170.81900000000002,73.4652,3476.6820000000007,916.104,757.3580000000001,75.482,823.336,,598.5400000000002,530.016,,,212.06799999999998,169.042,,623.6519999999999,877.6500000000002,,,,,,,,,
1915,56589.16499999976,20952.31499999989,276177.0999999948,20728.819999999905,240.36749999999998,28478.164999999855,19906.62499999994,14374.989999999947,7758.814999999993,52676.42999999971,3928.700000000001,1844.3750000000005,8617.189999999984,16075.159999999956,44590.579999999856,12252.354999999965,30408.40499999994,2664.6600000000008,1790.6750000000004,1564.9750000000004,6765.210000000003,5114.215000000002,10492.659999999994,10537.824999999979,1377.43,12455.954999999973,2199.4200000000005,43933.539999999804,10187.039999999985,7965.645000000002,3419.0550000000003,3297.59,8454.235000000004,1522.2999999999997,15846.93999999993,1125.63,993.46,515.8325000000002,1973.4050000000007,1756.44,13627.754999999968,1496.4450000000002,3017.04,11478.324999999964,260.725,1813.6200000000001,3394.970000000001,2556.8450000000003,629.325,712.7850000000001,1810.5124999999998,302.53499999999997,4466.030000000002,734.6800000000001,3690.085,2098.8750000000005,667.1649999999997,6172.115000000003,420.365,84.7375,,1691.3100000000004,186.585,5349.950000000003,622.2375000000001,1253.71,1124.385,3550.3100000000013,420.3374999999999,83.77250000000001,965.91,9215.444999999996,942.1749999999997,347.93249999999995,330.16499999999996,85.81,696.95375,765.56,175.78750000000002,75.18299999999999,3323.9850000000006,1073.42,713.6400000000001,76.425,814.04,,634.0600000000002,554.9549999999999,,,193.375,157.51999999999998,,672.0,1079.1350000000002,,,,,,,,,
1916,58398.251999999804,20295.181999999906,284483.31599999475,20442.90599999992,231.07299999999998,28293.577999999874,20474.553999999953,13879.617999999959,7360.065999999995,52354.82199999976,3825.2360000000012,1668.2540000000004,8074.591999999988,16266.93199999996,46495.45799999988,11805.741999999973,31800.251999999968,2623.9120000000007,1775.9180000000003,1505.0780000000004,6684.052000000002,5032.724000000002,10769.757999999994,10336.327999999983,1480.8120000000001,12681.109999999975,2266.4120000000003,43871.23399999986,10058.805999999988,9128.514000000003,3213.6620000000003,3225.666,8926.012000000006,1568.6039999999998,15846.745999999932,1135.626,1063.074,473.5500000000002,1808.7480000000005,1820.8880000000001,13628.325999999974,1537.578,3118.4779999999996,11034.66799999997,269.844,1703.058,3543.310000000001,2566.2440000000006,654.796,726.2640000000001,1857.762,320.016,4556.084000000002,709.5120000000002,4083.8940000000002,2045.3640000000003,771.9139999999996,6546.018000000005,461.41200000000003,86.74600000000001,,1627.996,180.876,5588.104000000003,674.9750000000001,1346.69,1177.158,3614.9820000000013,432.69499999999994,85.162,1001.3299999999999,10226.697999999993,1001.5319999999997,331.4669999999999,353.17199999999997,88.63,716.433,831.5799999999999,180.75600000000003,76.9008,3171.2880000000005,1230.7359999999999,669.922,77.368,804.7439999999999,,669.5800000000002,579.894,,,174.682,145.998,,720.348,1280.6200000000003,,,,,,,,,
