,White,Black,American Indian/Alaska Native,Asian and/or Pacific Islander,"Other race, non-Hispanic"
1870,38692.54000000005,199.78,99.49,,
1871,53924.77499999869,508.7980000000016,99.65599999999999,,
1872,69157.00999999733,817.8160000000032,99.822,,
1873,84389.24499999598,1126.8340000000048,99.988,,
1874,99621.47999999463,1435.8520000000065,100.15400000000001,,
1875,114853.71499999326,1744.870000000008,100.32000000000001,,
1876,130085.9499999919,2053.88800000001,100.486,,
1877,145318.18499999054,2362.9060000000113,100.65200000000002,,
1878,160550.4199999892,2671.924000000013,100.81800000000001,,
1879,175782.6549999878,2980.942000000015,100.98400000000002,,
1880,191014.88999998645,3289.9600000000164,101.15000000000002,304.3199999999997,
1881,207797.60749998633,3533.2865000000156,166.09250000000003,351.05799999999977,
1882,224580.32499998622,3776.613000000015,231.03500000000003,397.79599999999976,
1883,241363.04249998613,4019.939500000014,295.9775,444.5339999999998,
1884,258145.759999986,4263.266000000013,360.92,491.2719999999998,
1885,274928.4774999859,4506.592500000013,425.8625,538.0099999999999,
1886,291711.1949999858,4749.919000000013,490.805,584.7479999999999,
1887,308493.91249998566,4993.245500000012,555.7475,631.4859999999999,
1888,325276.62999998557,5236.572000000011,620.6899999999999,678.2239999999999,
1889,342059.3474999855,5479.89850000001,685.6324999999999,724.962,
1890,358842.06499998533,5723.2250000000095,750.5749999999999,771.7,
1891,375624.78249998525,5966.551500000009,815.5174999999999,818.4380000000001,
1892,392407.4999999851,6209.878000000008,880.4599999999999,865.1760000000002,
1893,409190.217499985,6453.204500000007,945.4024999999999,911.9140000000002,
1894,425972.9349999849,6696.531000000006,1010.3449999999999,958.6520000000002,
1895,442755.65249998483,6939.8575000000055,1075.2875,1005.3900000000002,
1896,459538.3699999847,7183.184000000005,1140.23,1052.1280000000002,
1897,476321.0874999846,7426.510500000005,1205.1725000000001,1098.8660000000004,
1898,493103.80499998445,7669.837000000004,1270.115,1145.6040000000003,
1899,509886.52249998436,7913.163500000003,1335.0575,1192.3420000000003,
1900,526669.2399999843,8156.4900000000025,1400.0,1239.0800000000004,
1901,551751.8579999794,8430.832999999999,1409.1900000000007,1194.0530000000003,
1902,576834.4759999744,8705.175999999996,1418.3800000000012,1149.0260000000003,
1903,601917.0939999695,8979.518999999993,1427.570000000002,1103.9990000000003,
1904,626999.7119999647,9253.86199999999,1436.7600000000027,1058.9720000000002,
1905,652082.3299999598,9528.204999999987,1445.9500000000035,1013.9450000000003,
1906,677164.9479999548,9802.547999999984,1455.140000000004,968.9180000000002,
1907,702247.5659999499,10076.890999999981,1464.3300000000047,923.8910000000003,
1908,727330.183999945,10351.233999999979,1473.5200000000054,878.8640000000003,
1909,752412.8019999401,10625.576999999976,1482.710000000006,833.8370000000002,
1910,777495.4199999352,10899.919999999973,1491.9000000000067,788.8100000000002,1219.0700000000004
1911,791874.0829999368,11092.786999999977,1483.627000000006,1083.6839999999997,
1912,806252.7459999382,11285.653999999979,1475.3540000000053,1378.5579999999995,
1913,820631.4089999398,11478.520999999982,1467.0810000000047,1673.4319999999993,
1914,835010.0719999414,11671.387999999986,1458.808000000004,1968.305999999999,
1915,849388.7349999428,11864.25499999999,1450.5350000000035,2263.1799999999985,
1916,863767.3979999444,12057.121999999992,1442.2620000000027,2558.0539999999983,
1917,878146.060999946,12249.988999999996,1433.989000000002,2852.927999999998,
1918,892524.7239999475,12442.856,1425.7160000000015,3147.801999999998,
1919,906903.386999949,12635.723000000002,1417.4430000000007,3442.6759999999977,
1920,921282.0499999506,12828.590000000006,1409.17,3737.5499999999975,
1921,932678.0699999363,12605.706000000006,1278.348,3807.974999999997,
1922,944074.0899999219,12382.822000000006,1147.526,3878.3999999999974,
1923,955470.1099999074,12159.938000000007,1016.7040000000001,3948.824999999997,
1924,966866.1299998931,11937.054000000007,885.8820000000001,4019.2499999999973,
1925,978262.1499998788,11714.170000000007,755.0600000000001,4089.674999999997,
1926,989658.1699998644,11491.286000000007,624.238,4160.099999999997,
1927,1001054.18999985,11268.402000000007,493.41600000000005,4230.524999999997,
1928,1012450.2099998357,11045.51800000001,362.59400000000005,4300.949999999997,
1929,1023846.2299998214,10822.63400000001,231.77199999999993,4371.374999999996,
1930,1035242.249999807,10599.75000000001,100.95,4441.7999999999965,
1931,1036739.0249998263,10560.175000000008,160.855,4468.019999999997,
1932,1038235.7999998456,10520.600000000008,220.76,4494.239999999997,
1933,1039732.5749998649,10481.025000000007,280.66499999999996,4520.459999999997,
1934,1041229.3499998841,10441.450000000006,340.57,4546.679999999998,
1935,1042726.1249999035,10401.875000000004,400.47499999999997,4572.899999999998,
1936,1044222.8999999228,10362.300000000003,460.37999999999994,4599.119999999999,
1937,1045719.6749999421,10322.725000000002,520.285,4625.339999999999,
1938,1047216.4499999614,10283.150000000001,580.1899999999999,4651.5599999999995,
1939,1048713.2249999808,10243.575,640.095,4677.78,
1940,1050210.0,10204.0,700.0,4704.0,
