Race,1878,1880,1882,1884,1888,1890,1892,1900,1936,1938,1940
White,130,202,291,324,351,466,583,374,897,986,889
Black,10,21,22,31,35,31,44,54,54,83,60
Mexican,6,3,9,14,3,17,9,30,186,195,181
Indian,0,0,0,2,0,0,0,0,5,1,1
Asian,0,0,0,1,0,0,1,1,1,2,0
