Code,Label,Variable
912,"White, Chinese, Filipino, Hawaiian (2000 1%)",RACED
913,"White, Japanese, Hawaiian (2000 1%)",RACED
914,"White, Filipino, Hawaiian",RACED
915,"Other White, Asian race(s), PI race(s)",RACED
916,"White, AIAN and Filipino",RACED
917,"White, Black, and Filipino",RACED
920,"White, Asian, other race write_in",RACED
921,"White, Filipino, other race write_in (2000 1%)",RACED
922,"White, Asian write_in, other race write_in (2000 1%)",RACED
923,"Other White, Asian race(s), other race write_in (2000 1%)",RACED
925,"White, PI, other race write_in",RACED
930,"Black, AIAN, Asian",RACED
931,"Black, AIAN, PI",RACED
932,"Black, AIAN, other race write_in",RACED
933,"Black, Asian, PI",RACED
934,"Black, Asian, other race write_in",RACED
935,"Black, PI, other race write_in",RACED
940,"AIAN, Asian, PI",RACED
941,"AIAN, Asian, other race write_in",RACED
942,"AIAN, PI, other race write_in",RACED
943,"Asian, PI, other race write_in",RACED
944,"Asian (Chinese, Japanese, Korean, Vietnamese); and Native Hawaiian or PI; and Other",RACED
949,2 or 3 races (CPS),RACED
950,"White, Black, AIAN, Asian",RACED
951,"White, Black, AIAN, PI",RACED
952,"White, Black, AIAN, other race write_in",RACED
953,"White, Black, Asian, PI",RACED
954,"White, Black, Asian, other race write_in",RACED
955,"White, Black, PI, other race write_in",RACED
960,"White, AIAN, Asian, PI",RACED
961,"White, AIAN, Asian, other race write_in",RACED
962,"White, AIAN, PI, other race write_in",RACED
963,"White, Asian, PI, other race write_in",RACED
964,"White, Chinese, Japanese, Native Hawaiian",RACED
970,"Black, AIAN, Asian, PI",RACED
971,"Black, AIAN, Asian, other race write_in",RACED
972,"Black, AIAN, PI, other race write_in",RACED
973,"Black, Asian, PI, other race write_in",RACED
974,"AIAN, Asian, PI, other race write_in",RACED
975,"AIAN, Asian, PI, Hawaiian other race write_in",RACED
976,"Two specified Asian (Chinese and other Asian, Chinese and Japanese, Japanese and other Asian, Korean and other Asian); Native Hawaiian/PI; and Other Race",RACED
980,"White, Black, AIAN, Asian, PI",RACED
981,"White, Black, AIAN, Asian, other race write_in",RACED
982,"White, Black, AIAN, PI, other race write_in",RACED
983,"White, Black, Asian, PI, other race write_in",RACED
984,"White, AIAN, Asian, PI, other race write_in",RACED
985,"Black, AIAN, Asian, PI, other race write_in",RACED
986,"Black, AIAN, Asian, PI, Hawaiian, other race write_in",RACED
989,4 or 5 races (CPS),RACED
990,"White, Black, AIAN, Asian, PI, other race write_in",RACED
991,White race; Some other race; Black or African American race and/or American Indian and Alaska Native race and/or Asian groups and/or Native Hawaiian and Other Pacific Islander groups,RACED
996,"2+ races, n.e.c. (CPS)",RACED
0,Not Hispanic,HISPAN
1,Mexican,HISPAN
2,Puerto Rican,HISPAN
3,Cuban,HISPAN
4,Other,HISPAN
9,Not Reported,HISPAN
0,Not Hispanic,HISPAND
100,Mexican,HISPAND
102,Mexican American,HISPAND
103,Mexicano/Mexicana,HISPAND
104,Chicano/Chicana,HISPAND
105,La Raza,HISPAND
106,Mexican American Indian,HISPAND
107,Mexico,HISPAND
200,Puerto Rican,HISPAND
300,Cuban,HISPAND
401,Central American Indian,HISPAND
402,Canal Zone,HISPAND
411,Costa Rican,HISPAND
412,Guatemalan,HISPAND
413,Honduran,HISPAND
414,Nicaraguan,HISPAND
415,Panamanian,HISPAND
416,Salvadoran,HISPAND
417,"Central American, n.e.c.",HISPAND
420,Argentinean,HISPAND
421,Bolivian,HISPAND
422,Chilean,HISPAND
423,Colombian,HISPAND
424,Ecuadorian,HISPAND
425,Paraguayan,HISPAND
426,Peruvian,HISPAND
427,Uruguayan,HISPAND
428,Venezuelan,HISPAND
429,South American Indian,HISPAND
430,Criollo,HISPAND
431,"South American, n.e.c.",HISPAND
450,Spaniard,HISPAND
451,Andalusian,HISPAND
452,Asturian,HISPAND
453,Castillian,HISPAND
454,Catalonian,HISPAND
455,Balearic Islander,HISPAND
456,Gallego,HISPAND
457,Valencian,HISPAND
458,Canarian,HISPAND
459,Spanish Basque,HISPAND
460,Dominican,HISPAND
465,Latin American,HISPAND
470,Hispanic,HISPAND
480,Spanish,HISPAND
490,Californio,HISPAND
491,Tejano,HISPAND
492,Nuevo Mexicano,HISPAND
493,Spanish American,HISPAND
494,Spanish American Indian,HISPAND
495,Meso American Indian,HISPAND
496,Mestizo,HISPAND
498,"Other, n.s.",HISPAND
499,"Other, n.e.c.",HISPAND
900,Not Reported,HISPAND
1,Alabama,BPL
2,Alaska,BPL
4,Arizona,BPL
5,Arkansas,BPL
6,California,BPL
8,Colorado,BPL
9,Connecticut,BPL
10,Delaware,BPL
11,District of Columbia,BPL
12,Florida,BPL
13,Georgia,BPL
15,Hawaii,BPL
16,Idaho,BPL
17,Illinois,BPL
18,Indiana,BPL
19,Iowa,BPL
20,Kansas,BPL
21,Kentucky,BPL
22,Louisiana,BPL
23,Maine,BPL
24,Maryland,BPL
25,Massachusetts,BPL
26,Michigan,BPL
27,Minnesota,BPL
28,Mississippi,BPL
29,Missouri,BPL
30,Montana,BPL
31,Nebraska,BPL
32,Nevada,BPL
33,New Hampshire,BPL
34,New Jersey,BPL
35,New Mexico,BPL
36,New York,BPL
37,North Carolina,BPL
38,North Dakota,BPL
39,Ohio,BPL
40,Oklahoma,BPL
41,Oregon,BPL
42,Pennsylvania,BPL
44,Rhode Island,BPL
45,South Carolina,BPL
46,South Dakota,BPL
47,Tennessee,BPL
48,Texas,BPL
49,Utah,BPL
50,Vermont,BPL
51,Virginia,BPL
53,Washington,BPL
54,West Virginia,BPL
55,Wisconsin,BPL
56,Wyoming,BPL
90,Native American,BPL
99,"United States, ns",BPL
100,American Samoa,BPL
105,Guam,BPL
110,Puerto Rico,BPL
115,U.S. Virgin Islands,BPL
120,Other US Possessions,BPL
150,Canada,BPL
155,St. Pierre and Miquelon,BPL
160,Atlantic Islands,BPL
199,"North America, ns",BPL
200,Mexico,BPL
210,Central America,BPL
250,Cuba,BPL
260,West Indies,BPL
299,"Americas, n.s.",BPL
300,SOUTH AMERICA,BPL
400,Denmark,BPL
401,Finland,BPL
402,Iceland,BPL
403,"Lapland, n.s.",BPL
404,Norway,BPL
405,Sweden,BPL
410,England,BPL
411,Scotland,BPL
412,Wales,BPL
413,"United Kingdom, ns",BPL
414,Ireland,BPL
419,"Northern Europe, ns",BPL
420,Belgium,BPL
421,France,BPL
422,Liechtenstein,BPL
423,Luxembourg,BPL
424,Monaco,BPL
425,Netherlands,BPL
426,Switzerland,BPL
429,"Western Europe, ns",BPL
430,Albania,BPL
431,Andorra,BPL
432,Gibraltar,BPL
433,Greece,BPL
434,Italy,BPL
435,Malta,BPL
436,Portugal,BPL
437,San Marino,BPL
438,Spain,BPL
439,Vatican City,BPL
440,"Southern Europe, ns",BPL
450,Austria,BPL
451,Bulgaria,BPL
452,Czechoslovakia,BPL
453,Germany,BPL
454,Hungary,BPL
455,Poland,BPL
456,Romania,BPL
457,Yugoslavia,BPL
458,"Central Europe, ns",BPL
459,"Eastern Europe, ns",BPL
460,Estonia,BPL
461,Latvia,BPL
462,Lithuania,BPL
463,"Baltic States, ns",BPL
465,Other USSR/Russia,BPL
499,"Europe, ns",BPL
500,China,BPL
501,Japan,BPL
502,Korea,BPL
509,"East Asia, ns",BPL
510,Brunei,BPL
511,Cambodia (Kampuchea),BPL
512,Indonesia,BPL
513,Laos,BPL
514,Malaysia,BPL
515,Philippines,BPL
516,Singapore,BPL
517,Thailand,BPL
518,Vietnam,BPL
519,"Southeast Asia, ns",BPL
520,Afghanistan,BPL
521,India,BPL
522,Iran,BPL
523,Maldives,BPL
524,Nepal,BPL
530,Bahrain,BPL
531,Cyprus,BPL
532,Iraq,BPL
533,Iraq/Saudi Arabia,BPL
534,Israel/Palestine,BPL
535,Jordan,BPL
536,Kuwait,BPL
537,Lebanon,BPL
538,Oman,BPL
539,Qatar,BPL
540,Saudi Arabia,BPL
541,Syria,BPL
542,Turkey,BPL
543,United Arab Emirates,BPL
544,Yemen Arab Republic (North),BPL
545,"Yemen, PDR (South)",BPL
546,"Persian Gulf States, n.s.",BPL
547,"Middle East, ns",BPL
548,"Southwest Asia, nec/ns",BPL
549,"Asia Minor, ns",BPL
550,"South Asia, nec",BPL
599,"Asia, nec/ns",BPL
600,AFRICA,BPL
700,Australia and New Zealand,BPL
710,Pacific Islands,BPL
800,"Antarctica, ns/nec",BPL
900,Abroad (unknown) or at sea,BPL
950,Other n.e.c.,BPL
999,Missing/blank,BPL
100,Alabama,BPLD
200,Alaska,BPLD
400,Arizona,BPLD
500,Arkansas,BPLD
600,California,BPLD
800,Colorado,BPLD
900,Connecticut,BPLD
1000,Delaware,BPLD
1100,District of Columbia,BPLD
1200,Florida,BPLD
1300,Georgia,BPLD
1500,Hawaii,BPLD
1600,Idaho,BPLD
1610,Idaho Territory,BPLD
1700,Illinois,BPLD
1800,Indiana,BPLD
1900,Iowa,BPLD
2000,Kansas,BPLD
2100,Kentucky,BPLD
2200,Louisiana,BPLD
2300,Maine,BPLD
2400,Maryland,BPLD
2500,Massachusetts,BPLD
2600,Michigan,BPLD
2700,Minnesota,BPLD
2800,Mississippi,BPLD
