,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE,HISTID
4400171,1940,194002,4006782,1.0,,8,1,2,1.0,2,48,1,100,0,0,465,46500,0,5.0,,,,,,,999,0,0,D981C672-D2CC-47F8-9B5B-36364B89F9CA
4122099,1940,194002,3922096,1.0,,8,1,1,1.0,1,68,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,46221BA9-BA6A-493C-BAD7-93FBC1D8A7E4
3945162,1940,194002,3872859,1.0,,8,1,4,1.0,1,6,1,100,0,0,8,800,1,0.0,,,,,,,999,0,0,0650CDE4-62D1-4215-A34D-2AEF9FD56880
1240536,1910,191004,1654403,1.0,,8,1,2,1.0,2,40,1,100,0,0,21,2100,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,999,0,0,4A922280-7423-493F-B117-651F5ADE8847
2524214,1930,193004,2924568,1.0,,8,1,1,1.0,1,56,1,100,0,0,17,1700,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,979,979,0,2E6C3FAC-B261-469F-ABA6-262C5394A5EC
1896062,1920,192003,2131042,1.0,,8,1,1,1.0,1,58,1,100,0,0,21,2100,1,0.0,0.0,,,2.0,1.0,10.0,55,879,62,8B6C84EE-63FC-4A1F-8DA6-758FD7BC38F3
710938,1900,190004,1180572,1.0,,8,1,5,1.0,2,6,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,0D882E10-9E8F-4E27-9507-8AC83FFE11CF
1594471,1920,192003,2036847,1.0,,8,1,4,1.0,2,14,1,100,0,0,40,4000,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,B303D2AF-4262-4126-975B-F86544D0DD2F
3830058,1940,194002,3838637,1.0,,8,1,3,1.0,1,34,1,100,0,0,35,3500,0,0.0,,,,,,,290,636,42,CC99C3C9-8824-4F7E-9734-69731191B13A
1068518,1910,191004,1608999,1.0,,8,1,1,1.0,1,32,1,100,0,0,8,800,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,979,0,0,C1FFF862-1CD1-41BE-A08F-D2AA0D4F4F4B
3968074,1940,194002,3879737,1.0,,8,1,1,1.0,2,52,1,100,1,100,8,800,0,0.0,,,,,,,999,0,0,E3A8498C-9BA5-4DB3-84B1-9AE2CFE182EE
4259354,1940,194002,3965440,1.0,,8,1,1,1.0,1,28,1,100,1,100,35,3500,0,0.0,,,,,,,970,105,20,CD03EA68-662A-4E35-A90E-4BB1AC5F8A95
1960,1870,187003,7506991,1.0,1870075069913.0,8,1,3,1.0,1,28,1,100,0,0,23,2300,1,2.0,,,,,1.0,10.0,512,459,36,4F7723EE-8151-44E8-BB68-CD5E7E0B1688
1258539,1910,191004,1659155,1.0,,8,1,1,1.0,1,49,1,100,0,0,21,2100,2,0.0,0.0,1.0,100.0,2.0,1.0,10.0,820,105,9,9C863915-6E69-4F87-87D9-04513DBC2BDA
366829,1900,190004,1096827,1.0,,8,1,2,1.0,2,42,1,100,0,0,17,1700,1,0.0,0.0,,,2.0,1.0,10.0,270,906,29,5A25669D-9147-4CA0-ADE1-5798ECA02FA9
1701638,1920,192003,2064870,1.0,,8,1,1,1.0,1,26,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1.0,10.0,979,979,0,8A657947-88F4-46BC-A631-81D377A95608
1479715,1910,191004,1714199,1.0,,8,1,1,1.0,1,42,1,100,0,0,150,15000,5,2.0,5.0,1.0,100.0,2.0,1.0,10.0,999,0,0,E63A2398-D5C3-46E3-A627-D6331CB1A84D
403145,1900,190004,1105372,1.0,,8,1,1,1.0,1,54,1,100,0,0,39,3900,1,0.0,0.0,,,2.0,1.0,10.0,995,0,0,5D790A36-0481-4665-AE29-E8CC3525375C
3153416,1930,193004,3106371,1.0,,8,1,3,1.0,1,17,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,0.0,1.0,10.0,979,105,0,EFAB5701-5A0E-4AAB-9818-B859714F4A15
1998410,1920,192003,2161300,1.0,,8,4,3,1.0,1,15,1,100,0,0,29,2900,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,93543765-E9E5-40E7-92AA-9E644E780529
4232808,1940,194002,3957883,1.0,,8,1,1,1.0,1,72,1,100,0,0,42,4200,0,0.0,,,,,,,970,586,20,F07864C8-7F9C-4A1D-AEEC-1901F1BE9595
1776252,1920,192003,2085655,1.0,,8,1,5,1.0,2,5,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,92579C74-1D79-445C-9833-E791A56E5AFB
1318102,1910,191004,1672828,1.0,,8,1,3,1.0,1,6,1,100,0,0,26,2600,1,0.0,0.0,1.0,100.0,0.0,1.0,10.0,979,0,0,DCA44A9D-71F7-4412-83A6-EB7523FFD28A
688104,1900,190004,1174621,1.0,,8,1,2,1.0,2,41,1,100,0,0,434,43400,5,0.0,2.0,,,2.0,1.0,10.0,999,0,0,48989780-E470-4902-A5A9-EFAD52EC9A7A
1228576,1910,191004,1651334,1.0,,8,1,1,1.0,1,62,1,100,0,0,17,1700,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,501,817,25,405A9958-3B9F-489A-B0EE-1C4C9F1FAB72
2197644,1920,192003,2212479,1.0,,8,1,1,1.0,1,38,1,100,1,100,200,20000,5,4.0,5.0,,,1.0,1.0,10.0,820,105,9,4B09A7A3-B905-40CC-B17E-77D841A39538
