,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE,HISTID
3717373,1940,194002,3802221,1.0,,8,1,4,1.0,1,65,1,100,0,0,29,2900,1,0.0,,,,,,,820,105,9,986A5ABD-00C7-48ED-BBB2-AAF5F4ED74F0
1446260,1910,191004,1705712,1.0,,8,1,1,1.0,1,40,1,100,0,0,410,41000,5,2.0,5.0,1.0,100.0,2.0,1.0,10.0,979,0,0,07E875FA-3E60-4DE0-96BA-5C1988CAF7FB
4465969,1940,194002,4028497,1.0,,8,1,2,1.0,2,49,1,100,0,0,36,3600,0,0.0,,,,,,,999,0,0,ED46D3F9-22F3-47D3-A457-440165D5DF32
566570,1900,190004,1145534,1.0,,8,1,8,1.0,2,12,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1.0,10.0,983,0,0,487498F0-0351-4667-B8D9-835940212F72
4184481,1940,194002,3944057,1.0,,8,1,1,1.0,1,71,1,100,0,0,29,2900,1,0.0,,,,,,,999,0,0,FFE4DA15-1C24-4CF8-8194-C1F09B6D8C7E
4331234,1940,194002,3984787,1.0,,8,1,1,1.0,1,60,1,100,0,0,54,5400,0,0.0,,,,,,,999,0,0,EB7417C7-CD5E-462E-8961-5F6E513C940F
701708,1900,190004,1178042,1.0,,8,3,1,1.0,1,56,1,100,0,0,42,4200,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,F511AD7D-64E5-463B-B887-56D2719B0811
3549851,1930,193004,3208703,1.0,,8,1,3,1.0,1,20,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,820,105,9,39AFEF12-AB1A-4777-AC5F-3E439E320364
2352739,1920,192003,2251248,1.0,,8,1,2,1.0,2,41,1,100,0,0,410,41000,5,2.0,4.0,,,2.0,1.0,10.0,999,0,0,3CAB6DC1-CE94-4708-A190-4DBCF204EF6A
787549,1910,191004,1533418,1.0,,8,1,4,1.0,1,38,1,100,0,0,99,9900,4,0.0,0.0,1.0,100.0,2.0,1.0,10.0,820,105,9,BF5DDFB1-0193-4B09-8246-BEA192D13AA6
3227864,1930,193004,3125048,1.0,,8,1,1,1.0,1,56,1,100,0,0,19,1900,2,0.0,0.0,0.0,0.0,2.0,1.0,10.0,960,526,15,DA19BCDE-5B15-4FBC-8933-05B79640DEA6
170504,1880,188003,656852,1.0,,8,2,8,1.0,1,32,1,100,0,0,36,3600,1,,,,,,1.0,10.0,650,239,24,da027c47-390f-4899-91d9-c91d9d9b4f27
1512294,1910,191004,1723110,1.0,,8,1,1,1.0,1,35,5,500,0,0,501,50100,5,3.0,2.0,1.0,100.0,2.0,4.0,43.0,100,105,14,F6254BD5-232A-4485-A9D6-AC0FA02872DD
1220241,1910,191004,1648847,1.0,,8,1,1,1.0,1,34,1,100,0,0,454,45400,5,4.0,3.0,1.0,100.0,2.0,1.0,10.0,290,679,42,F2C6CA32-04FF-47EF-B1EA-CBC67A00DBD0
1329677,1910,191004,1675665,1.0,,8,1,2,1.0,2,25,1,100,0,0,465,46500,5,0.0,1.0,1.0,100.0,2.0,1.0,10.0,999,0,0,081DE6F8-4129-4F00-9DEF-AD609E330E5F
651381,1900,190004,1165929,1.0,,8,1,5,1.0,1,43,1,100,0,0,150,15000,5,2.0,4.0,,,2.0,1.0,10.0,510,246,24,A0ECAAD8-DA16-43A8-9B67-F3792DCB2966
2746652,1930,193004,2986152,1.0,,8,1,9,1.0,2,0,1,140,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,12.0,999,0,0,FD6BDB05-3055-447E-905F-77D4C9D72BCA
1453597,1910,191004,1707776,1.0,,8,1,10,1.0,1,13,1,100,0,0,8,800,4,0.0,0.0,1.0,100.0,2.0,1.0,10.0,999,0,0,DC4D3796-234F-4376-ABF0-6A5EF567296E
3667247,1940,194002,3788383,1.0,,8,1,2,1.0,2,43,1,100,0,0,17,1700,0,0.0,,,,,,,999,0,0,C236304B-B37A-48B6-A333-5733DC9FEB41
602549,1900,190004,1153934,1.0,,8,1,5,1.0,1,24,1,100,0,0,17,1700,4,0.0,0.0,,,2.0,1.0,10.0,523,239,38,A0B22257-248F-4C04-A7B2-EF099708B284
2641834,1930,193004,2957319,1.0,,8,1,1,1.0,1,28,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,100,105,14,DECDD61E-3048-4328-8108-DE42A5F5DDD2
3134910,1930,193004,3101681,1.0,,8,1,2,1.0,2,33,1,140,0,0,35,3500,1,0.0,0.0,0.0,0.0,1.0,1.0,12.0,999,0,0,CF9C974F-125C-4623-ACD8-4ABFED1DE62B
330311,1900,190004,1087686,1.0,,8,1,2,1.0,1,24,1,100,0,0,31,3100,1,0.0,0.0,,,2.0,1.0,10.0,490,636,24,7FC90FB1-001B-4A48-9DAD-FDC2B04CF67E
1219809,1910,191004,1648725,1.0,,8,1,2,1.0,1,48,1,100,0,0,26,2600,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,979,0,0,654D7603-4C56-4D4E-9C17-8DE13D8F1179
463481,1900,190004,1119971,1.0,,8,1,2,1.0,2,28,1,100,0,0,20,2000,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,5433EC7A-5434-47AC-A238-11B09470D277
1066147,1910,191004,1608311,1.0,,8,1,4,1.0,2,1,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,310B1B23-A8BA-451A-8764-05DD49F8E893
273205,1900,190004,1073730,1.0,,8,1,1,1.0,1,52,1,100,0,0,42,4200,1,0.0,0.0,,,1.0,1.0,10.0,505,309,26,0DF4A70A-9D92-4079-9B56-7874C35E0CAA
701904,1900,190004,1178160,1.0,,8,1,3,1.0,1,12,1,100,0,0,27,2700,1,0.0,0.0,,,2.0,1.0,10.0,983,0,0,E0A010CF-4561-43B4-AFD2-52135AB5871D
657542,1900,190004,1167529,1.0,,8,1,2,1.0,2,35,1,100,0,0,450,45000,5,0.0,3.0,,,1.0,1.0,10.0,999,0,0,9F3CA73B-17F6-4565-BD63-63C17F39B658
2045710,1920,192003,2174356,1.0,,8,1,1,1.0,1,36,1,100,0,0,17,1700,2,0.0,0.0,,,2.0,1.0,10.0,380,506,35,613BEEEC-A32B-4BAB-8EDF-0ADBF2CB288B
2700674,1930,193004,2972508,1.0,,8,1,5,1.0,2,18,1,100,0,0,8,800,3,0.0,0.0,0.0,0.0,0.0,1.0,10.0,983,0,0,159E430E-F796-4F95-82B8-4598C9F2EA25
2210698,1920,192003,2215843,1.0,,8,1,1,1.0,1,50,1,100,0,0,17,1700,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,75AA50EA-A42E-448F-8A8C-B827B81C0E82
247014,1900,190004,1066579,1.0,,8,3,12,1.0,1,39,1,100,0,0,29,2900,1,0.0,0.0,,,2.0,1.0,10.0,650,206,24,3A5F02AC-28A4-44C8-BE3C-A8A02737DAA3
3736770,1940,194002,3807662,1.0,,8,1,3,1.0,1,19,1,100,0,0,40,4000,0,0.0,,,,,,,999,0,0,745CAF98-6E7E-4DA0-A3D5-29FD2658ADEE
315861,1900,190004,1084355,1.0,,8,1,4,1.0,1,0,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,34D6C38D-15E2-44EA-B86C-A6E79B17296F
3734987,1940,194002,3807153,1.0,,8,1,2,1.0,2,71,1,100,0,0,39,3900,0,0.0,,,,,,,999,0,0,62EAC1D5-81E8-47BD-BE08-A48BC81E92F2
1603691,1920,192003,2039250,1.0,,8,1,6,1.0,1,21,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1.0,10.0,970,506,20,D7EF2048-AC9B-4010-AE8D-D326A6191C62
2942000,1930,193004,3046666,1.0,,8,1,3,1.0,1,14,1,100,0,0,8,800,2,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,4E024D68-0276-4606-B9EB-13BA29BE1FE5
2227710,1920,192003,2219954,1.0,,8,1,5,1.0,2,11,1,100,0,0,453,45300,5,3.0,2.0,,,2.0,1.0,10.0,999,0,0,EF75BF8F-AEB9-427D-B35B-54536CAA8138
1483859,1910,191004,1715397,1.0,,8,1,1,1.0,1,37,1,100,0,0,29,2900,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,100,105,14,BCA5BFF7-BECE-4204-A8A4-A241D3433D99
1629122,1920,192003,2046369,1.0,,8,1,4,1.0,2,5,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,080B230C-539E-4DFA-9EDD-140FCDB000EF
3813856,1940,194002,3833895,1.0,,8,1,4,1.0,1,15,1,100,0,0,20,2000,0,0.0,,,,,,,820,105,9,52BCBB34-BC99-4950-B2F4-180474D3D51D
3598611,1940,194002,3767075,1.0,,8,1,1,1.0,1,25,1,100,0,0,31,3100,0,0.0,,,,,,,970,408,20,952FE2A3-618C-4051-B98B-3021A04E8385
1371210,1910,191004,1685967,1.0,,8,1,4,1.0,1,11,1,100,0,0,8,800,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,999,0,0,2A3F4D70-22C0-4E34-87EC-8E1CD0F27B54
3748042,1940,194002,3810926,1.0,,8,1,1,1.0,1,73,1,100,0,0,17,1700,0,0.0,,,,,,,100,105,14,8EA8123E-FFEC-4B7C-9551-43532C25A076
530449,1900,190004,1136947,1.0,,8,1,1,1.0,2,18,1,100,0,0,452,45210,5,0.0,2.0,,,2.0,1.0,10.0,981,0,0,CE7FFB0B-CD01-49A5-9963-F4CDFF9CB10B
2865592,1930,193004,3021477,1.0,,8,1,2,1.0,2,50,1,100,0,0,405,40500,5,2.0,5.0,5.0,500.0,2.0,1.0,10.0,999,0,0,76227C5D-0A74-4941-A47D-EBB86F8DFC48
4282456,1940,194002,3972310,1.0,,8,1,6,1.0,2,6,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,15F85BAB-F097-4AA7-B836-4A3D23762EE0
1015632,1910,191004,1594428,1.0,,8,1,2,1.0,2,29,1,100,0,0,11,1100,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,999,0,0,B6F26266-B753-43C0-A93A-87EDA759B0E7
2393108,1920,192003,2263197,1.0,,8,1,2,1.0,2,18,1,100,0,0,29,2900,2,0.0,0.0,,,2.0,1.0,10.0,979,979,0,230E247C-C12D-47AC-9320-7B906F95C94E
3409998,1930,193004,3173867,1.0,,8,4,1,1.0,2,50,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,979,979,0,EDAC8AA1-1A84-47ED-8E85-214C6EA7F641
3528544,1930,193004,3202953,1.0,,8,1,2,1.0,2,33,1,100,0,0,20,2000,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,DB99272A-6AE5-492E-83A6-096A1FEDA269
2665280,1930,193004,2962776,1.0,,8,1,5,1.0,2,9,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,6058C237-35EF-4EAE-9BFE-5F2F697615F8
2690714,1930,193004,2969502,1.0,,8,1,2,1.0,2,40,1,100,0,0,45,4500,3,0.0,0.0,0.0,0.0,2.0,1.0,10.0,784,679,11,1F339A00-6C2C-43B3-A138-1952D92C3C74
3157680,1930,193004,3107542,1.0,,8,1,2,1.0,2,23,1,100,0,0,5,500,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,D9000417-9B4D-4A3B-BAE2-2C86E3F0A574
3001649,1930,193004,3063434,1.0,,8,1,3,1.0,2,60,1,100,0,0,39,3900,4,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,CEC5F629-2FFF-4311-8659-C75174D01BA6
3697778,1940,194002,3797591,1.0,,8,1,1,1.0,1,52,1,100,0,0,49,4900,0,0.0,,,,,,,100,105,14,0E22DB3F-3FAB-4B6D-951C-961D1A8A1E24
3270312,1930,193004,3135351,1.0,,8,1,2,1.0,2,48,1,100,0,0,19,1900,4,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,D2E1EE4E-B5B5-4752-BE21-A8ACCEA2BE53
342880,1900,190004,1091054,1.0,,8,1,3,1.0,1,19,1,100,0,0,20,2000,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,A3AD8779-6953-4AC5-9DFA-2F25F6C9EB2A
1052998,1910,191004,1604562,1.0,,8,1,5,1.0,2,2,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,7AC458F1-3AEC-42AA-844E-9EFA77146C8E
2870097,1930,193004,3023172,1.0,,8,1,2,1.0,2,56,1,100,0,0,22,2200,3,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,4F050660-3A21-469E-BCE0-7119AF2C18F4
1787551,1920,192003,2088964,1.0,,8,1,1,1.0,1,56,1,100,0,0,17,1700,1,0.0,0.0,,,2.0,1.0,10.0,501,506,25,B1B8CF3B-18DD-4E70-8E29-383CF952521D
1319987,1910,191004,1673204,1.0,,8,1,2,1.0,2,40,1,100,0,0,18,1800,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,999,0,0,8C681286-65F2-4F5E-BF0A-0BF116E7639B
2143525,1920,192003,2199647,1.0,,8,1,1,1.0,1,53,1,100,0,0,42,4200,1,0.0,0.0,,,2.0,1.0,10.0,490,979,24,ED54A0A1-38F8-41BC-98B9-963DBD10E117
2694757,1930,193004,2970807,1.0,,8,1,1,1.0,2,57,1,100,0,0,19,1900,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,979,979,0,2BADF1E7-EC25-4D5A-81E4-9D771207C835
1798323,1920,192003,2092248,1.0,,8,1,3,1.0,1,7,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,DBE336C4-B7AF-468D-AF91-7A0B83A78A31
755377,1900,190004,1193029,1.0,,8,1,2,1.0,2,20,1,100,0,0,465,46500,5,0.0,1.0,,,2.0,1.0,10.0,999,0,0,EDBBCACD-46C3-4ED0-B3A5-262A025C0E13
3415471,1930,193004,3175284,1.0,,8,1,8,1.0,2,8,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,1C91290D-76BD-4D33-827B-B1204A895C3C
2968643,1930,193004,3053456,1.0,,8,1,2,1.0,2,32,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,A0F8F955-5B3F-4BF2-9E11-0A289144D1A1
440711,1900,190004,1114516,1.0,,8,1,4,1.0,2,19,1,100,0,0,8,800,1,0.0,0.0,,,9.0,1.0,10.0,999,0,0,AEC1A05E-0813-4899-84CA-8264A94070A9
2692037,1930,193004,2969860,1.0,,8,1,9,1.0,2,72,1,100,0,0,39,3900,4,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,A21E6308-49BB-4AE2-94C3-6B2CA94AC709
4216996,1940,194002,3953374,1.0,,8,1,3,1.0,2,15,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,E359D600-10B5-409F-BBDC-BB32AF204644
3928950,1940,194002,3868280,1.0,,8,1,2,1.0,1,16,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,E4F4C37A-53EF-4B94-B655-117C95B1ECE7
3193963,1930,193004,3116355,1.0,,8,1,3,1.0,1,31,1,100,0,0,434,43400,5,2.0,4.0,10.0,1000.0,2.0,1.0,10.0,970,979,20,876D4580-7CCC-4ECF-BE65-A1BDB9B3BB5A
2157650,1920,192003,2203185,1.0,,8,1,1,1.0,1,55,1,100,0,0,17,1700,1,0.0,0.0,,,2.0,1.0,10.0,9,896,24,31E4A00B-3BE6-4455-8542-15A92D2B3C9C
1920355,1920,192003,2137792,1.0,,8,1,3,1.0,2,67,1,100,0,0,410,41000,5,3.0,5.0,,,2.0,1.0,10.0,999,0,0,CBD00A63-2569-4880-AB7F-D5B857C284F7
4552874,1940,194002,4056301,1.0,,8,1,1,1.0,1,30,1,100,0,0,8,800,0,0.0,,,,,,,690,506,23,48E926CC-BAFA-43DA-AD92-CF6AD0EACEED
3320709,1930,193004,3148039,1.0,,8,1,1,1.0,1,45,1,100,0,0,17,1700,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,544,506,32,DB0E0247-F153-4FAE-8690-630287D5E6EE
2312793,1920,192003,2241216,1.0,,8,1,1,1.0,1,32,1,100,0,0,31,3100,4,0.0,0.0,,,2.0,1.0,10.0,820,105,9,08B0379A-444F-4758-A131-DA1D7F738775
1037753,1910,191004,1600016,1.0,,8,1,7,1.0,2,7,1,100,0,0,8,800,1,0.0,0.0,1.0,100.0,0.0,1.0,10.0,999,0,0,B04443A8-A5F7-4EBC-9539-B9D3590FC80C
1634597,1920,192003,2047729,1.0,,8,1,8,1.0,2,2,1,100,0,0,19,1900,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,E48CD7CE-D4B5-407C-A0C2-7C1BB7047B04
532062,1900,190004,1137329,1.0,,8,1,2,1.0,2,28,1,100,0,0,29,2900,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,0B456FE9-EFD5-4EB6-8D10-7352FD4158AF
4011135,1940,194002,3891191,1.0,,8,1,6,1.0,1,7,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,DE619AFC-A0EC-4615-A322-055EF69C6FCC
4614342,1940,194002,4083130,1.0,,8,1,5,1.0,1,15,1,100,1,100,35,3500,0,0.0,,,,,,,999,0,0,AAE87321-50D6-403B-B958-0EAB79256FC2
578917,1900,190004,1148555,1.0,,8,1,3,1.0,2,13,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1.0,10.0,983,0,0,E71EC6B9-EBAD-43C0-A927-CF423F0D5D16
1303022,1910,191004,1669156,1.0,,8,1,3,1.0,2,30,1,100,0,0,47,4700,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,93,888,27,EF118EE2-F247-4509-AFF3-D5D5A5EDD089
1981315,1920,192003,2156453,1.0,,8,1,1,1.0,1,33,1,100,0,0,410,41000,5,2.0,1.0,,,1.0,1.0,10.0,999,0,0,E339D9D9-CA13-4D6A-8209-A36A1BF67271
4627421,1940,194002,4087440,1.0,,8,1,3,1.0,1,18,1,100,1,100,8,800,0,0.0,,,,,,,990,997,0,85FDBC54-A015-47FA-B77B-71AE3B20CB95
3046267,1930,193004,3077378,1.0,,8,1,4,1.0,2,15,1,100,0,0,5,500,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,6D4F8721-AE33-4091-8621-4A7137352B49
2370648,1920,192003,2257639,1.0,,8,4,31,1.0,1,37,1,100,0,0,20,2000,1,0.0,0.0,,,2.0,1.0,10.0,644,636,29,E2F4C00B-D42D-49EB-A76B-243548F56B3D
176099,1880,188003,658224,1.0,,8,1,1,1.0,1,28,1,100,0,0,29,2900,1,,,,,,1.0,10.0,770,0,19,3974f622-e7f9-4334-ac57-0733d8b41d31
2324592,1920,192003,2244369,1.0,,8,1,5,1.0,2,1,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,4EE71216-8A2A-4CE1-8127-74249F14F946
2674720,1930,193004,2965211,1.0,,8,1,5,1.0,2,17,1,100,0,0,40,4000,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,79ADB0A6-06F8-492F-BF80-8437341FBD6A
4618511,1940,194002,4084473,1.0,,8,1,4,1.0,2,22,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,B261DAF5-DBB0-45E8-96DF-A8F0F2EE3AB1
661335,1900,190004,1168433,1.0,,8,1,1,1.0,1,37,1,100,0,0,9,900,1,0.0,0.0,,,1.0,1.0,10.0,73,669,40,3EEA92A5-A79B-4FDB-8B3A-370A20DB94C9
321168,1900,190004,1085513,1.0,,8,1,2,1.0,2,37,1,100,0,0,48,4800,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,92372272-232C-4C3E-8535-1FC96C9D1ED5
4464156,1940,194002,4027884,1.0,,8,2,8,1.0,1,64,1,100,0,0,17,1700,0,0.0,,,,,,,999,0,0,3707F775-A15E-4CAC-83A5-3816178F02D2
1624308,1920,192003,2045249,1.0,,8,1,8,1.0,2,16,1,100,0,0,29,2900,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,311406FD-13F0-4664-9CD6-F511178B7990
4470595,1940,194002,4029920,1.0,,8,1,2,1.0,2,58,1,100,0,0,17,1700,0,0.0,,,,,,,999,0,0,5ED781BF-04D5-434A-9C56-8F22A04DF184
1254063,1910,191004,1657897,1.0,,8,1,3,1.0,2,9,1,100,0,0,434,43400,5,0.0,1.0,1.0,100.0,0.0,1.0,10.0,999,0,0,1CE43461-AA04-4312-AD04-516260217A13
755942,1900,190004,1193174,1.0,,8,1,2,1.0,2,68,1,100,0,0,410,41000,5,0.0,3.0,,,2.0,1.0,10.0,999,0,0,43122CE1-566F-4F27-A9B9-2DEFCCCF214C
3829960,1940,194002,3838615,1.0,,8,1,1,1.0,1,65,1,100,0,0,450,45000,0,2.0,,,,,,,100,105,14,B836D9EE-6DCC-4CDF-BCE9-F25796AF039F
2432146,1920,192003,2273867,1.0,,8,1,1,1.0,1,37,1,100,0,0,405,40500,5,2.0,4.0,,,2.0,1.0,10.0,100,105,14,FA8B905A-0254-4CE0-A88D-048B442719A6
438892,1900,190004,1114095,1.0,,8,1,1,1.0,1,20,1,100,0,0,8,800,4,0.0,0.0,,,2.0,1.0,10.0,564,246,23,C3AA9830-B7C3-4E6B-86F7-45DF44F5D822
2782097,1930,193004,2996605,1.0,,8,1,3,1.0,2,4,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,E3DFE7F6-BBA4-46D7-9429-553BBB7B7EC6
1783052,1920,192003,2087713,1.0,,8,1,5,1.0,2,64,1,100,0,0,405,40500,5,2.0,5.0,,,2.0,1.0,10.0,999,0,0,21862FBC-7D4E-4D9D-9677-6F61B7445933
4531788,1940,194002,4049791,1.0,,8,1,3,1.0,2,40,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,97BFAC3E-99EC-4046-BBA8-B4FF4FA981A5
3902315,1940,194002,3860682,1.0,,8,1,4,1.0,2,5,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,52624AB8-1606-4013-BE9A-7B9F6FF56ACD
1163635,1910,191004,1634626,1.0,,8,4,1,1.0,1,20,1,100,0,0,434,43400,5,0.0,2.0,10.0,1000.0,1.0,1.0,10.0,650,236,24,C3A28806-CA86-4A32-AE14-54DFE2C1D450
4556539,1940,194002,4057375,1.0,,8,1,2,1.0,2,36,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,60182287-ACEB-46E6-9282-F93F1595C4B7
3096357,1930,193004,3090209,1.0,,8,1,3,1.0,2,9,1,100,0,0,41,4100,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,0B1195F2-CF18-415E-AF09-D07C85F5A243
308367,1900,190004,1082503,1.0,,8,1,4,1.0,2,27,1,100,0,0,42,4200,1,0.0,0.0,,,2.0,1.0,10.0,979,0,0,C09C796A-3553-4266-AAAA-7CD68341F580
3993268,1940,194002,3886361,1.0,,8,1,4,1.0,1,13,1,100,1,100,8,800,0,0.0,,,,,,,999,0,0,57C7B35B-BE66-4896-BFA8-03DF7338C74B
3367432,1930,193004,3162250,1.0,,8,2,9,1.0,1,26,1,100,0,0,18,1800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,450,736,36,4EC00B4F-C228-49D5-81AC-7D3D83C5E7A9
111320,1880,188003,642197,1.0,,8,1,7,1.0,2,4,1,100,0,0,8,800,4,,,,,,1.0,10.0,999,0,0,817ae14e-5e4b-4045-90ff-994dfc239e7a
3415153,1930,193004,3175162,1.0,,8,3,1,1.0,1,42,1,100,0,0,5,500,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,4E7B647B-837A-4CD7-9C25-0FC8DC2D288E
2742775,1930,193004,2985031,1.0,,8,1,4,1.0,1,18,1,100,0,0,8,800,3,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,C5200B3B-7253-46E1-A2C6-B2E9A9F470AA
4252032,1940,194002,3963293,1.0,,8,1,5,1.0,1,18,1,100,0,0,8,800,0,0.0,,,,,,,990,997,0,3A5AD180-50E8-4E69-AD0D-5094DF179D9C
393831,1900,190004,1103022,1.0,,8,1,5,1.0,1,66,1,100,0,0,405,40500,5,2.0,5.0,,,2.0,1.0,10.0,999,0,0,07231DB3-EB11-4CAD-A983-554E2B9792AE
76303,1880,188003,632507,1.0,,8,1,4,1.0,1,12,1,100,0,0,18,1800,1,,,,,,1.0,10.0,983,0,0,c9c6aca3-bfbc-4561-91e2-eb78e3d50c50
4311429,1940,194002,3979618,1.0,,8,1,2,1.0,2,54,1,100,0,0,465,46500,0,3.0,,,,,,,999,0,0,17BE183B-3CDA-4B55-A397-22A57A3187FA
1553809,1910,191004,1734246,1.0,,8,1,6,1.0,1,42,1,100,0,0,36,3600,2,0.0,0.0,1.0,100.0,2.0,1.0,10.0,979,0,0,4C23F724-E598-4FAA-BCBE-7CBBEB84E2F3
2236798,1920,192003,2222303,1.0,,8,1,2,1.0,2,32,1,100,0,0,5,500,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,4D01FC35-F3DE-4C37-9889-A7D1901BDDB7
68309,1880,188003,630772,1.0,,8,2,10,1.0,1,12,1,100,0,0,8,800,2,,,,,,1.0,10.0,983,0,0,be10fe82-b892-41e2-873a-21efa51cd5a2
4630782,1940,194002,4088490,1.0,,8,1,1,1.0,1,60,1,100,0,0,18,1800,0,0.0,,,,,,,970,506,20,6141BE24-7C80-4C82-869D-82446A609A64
1294216,1910,191004,1667249,1.0,,8,2,3,1.0,1,29,1,100,0,0,433,43300,5,3.0,1.0,16.0,1600.0,1.0,1.0,10.0,650,216,24,BE45BC4D-9BFE-4050-83EC-B3C323C40E21
2655895,1930,193004,2960361,1.0,,8,1,2,1.0,2,44,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,4130E2C3-AA26-4C7C-8F01-669C1C1E69C0
4133265,1940,194002,3925359,1.0,,8,1,2,1.0,2,28,1,100,0,0,40,4000,0,0.0,,,,,,,999,0,0,FB24F7C0-A1CC-4745-A5F5-7DE15AF82578
4670590,1940,194002,4100598,1.0,,8,1,7,1.0,1,6,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,C56E9B69-248C-4353-B0FF-344F3310F37C
3984340,1940,194002,3883864,1.0,,8,1,2,1.0,2,39,1,100,1,100,8,800,0,0.0,,,,,,,999,0,0,AAA1F1DE-881A-436F-A1F2-74972BD0FECE
148209,1880,188003,651532,1.0,,8,1,2,1.0,1,49,1,100,0,0,39,3900,1,,,,,,1.0,10.0,510,246,24,d8e400b7-595f-48f3-bd69-33aa04a13a10
2001370,1920,192003,2162232,1.0,,8,1,1,1.0,1,35,1,100,0,0,8,800,4,0.0,0.0,,,2.0,1.0,10.0,979,979,0,E46A2143-8437-457F-9CCD-4569A8CDF71E
4548935,1940,194002,4055197,1.0,,8,1,4,1.0,1,14,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,F4C4DB67-3618-46DF-BE9E-B6C8171DE0EA
1657695,1920,192003,2053821,1.0,,8,1,2,1.0,2,35,1,100,0,0,29,2900,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,C3DD68B0-D86C-4DE1-B9AD-E951E6056C1A
