,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE
113490,1930,193002,151502,20.05,1930001515022.0,8,23410803101.0,1,2,20.05,2,38,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
28104,1900,190001,55389,19.56,1900000553891.0,8,11910800000.0,1,4,19.56,1,10,1,100,0,0,17,1700,1,0.0,0.0,,,2.0,1,10,983,0,0
70021,1910,191002,1512601,101.0,1910015126011.0,8,12440810100.0,1,3,101.0,1,23,1,100,0,0,29,2900,1,0.0,0.0,1.0,100.0,2.0,1,10,611,246,21
53120,1900,190002,1009101,101.0,1900010091011.0,8,12010800501.0,1,2,101.0,2,38,1,100,0,0,42,4200,1,0.0,0.0,,,2.0,1,10,995,0,0
72516,1910,191003,1384801,71.71,1910013848011.0,8,11430803101.0,1,2,71.71,2,25,1,100,0,0,450,45000,5,0.0,5.0,1.0,100.0,2.0,1,10,999,0,0
2349,1880,188001,642401,101.56,1880006424011.0,8,9110806505.0,1,3,101.56,1,60,1,100,0,0,36,3600,1,,,,,,1,10,342,307,26
53086,1900,190002,1008301,100.0,1900010083011.0,8,12010800501.0,1,5,100.0,2,12,1,100,0,0,39,3900,1,0.0,0.0,,,2.0,1,10,983,0,0
121450,1930,193002,153995,20.05,1930001539952.0,8,23820803101.0,1,4,20.05,1,25,1,100,0,0,48,4800,1,0.0,0.0,0.0,0.0,0.0,1,10,490,646,24
164295,1940,194001,376050,100.0,1940003760501.0,8,4904.0,1,5,100.0,2,47,1,100,0,0,17,1700,0,0.0,,,,,1,10,310,686,22
63368,1910,191002,1357801,101.0,1910013578011.0,8,11220801100.0,1,1,101.0,1,52,1,100,0,0,453,45300,5,2.0,5.0,1.0,100.0,2.0,1,10,995,0,0
143305,1930,193002,160110,20.47,1930001601102.0,8,24820809500.0,1,2,20.47,2,32,1,100,0,0,31,3100,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
21234,1880,188002,93951,10.02,,8,,1,2,10.02,1,61,1,100,0,0,18,1800,1,,,,,,1,10,650,239,24
25229,1900,190001,54671,19.56,1900000546711.0,8,11710800002.0,2,6,19.56,2,16,1,100,0,0,17,1700,3,0.0,0.0,,,2.0,1,10,999,0,0
91599,1920,192001,2003501,90.72,1920020035011.0,8,17220812302.0,1,1,90.72,1,30,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1,10,100,105,14
110439,1930,193002,150591,21.92,1930001505912.0,8,23210802901.0,1,3,21.92,2,16,1,100,0,0,18,1800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
45645,1900,190001,59847,19.4,1900000598471.0,8,12720800001.0,1,1,19.4,1,41,1,100,0,0,19,1900,4,0.0,0.0,,,2.0,1,10,683,526,25
2975,1880,188002,88742,9.95,,8,,4,1,9.95,1,21,1,100,0,0,29,2900,1,,,,,,1,10,100,105,14
97508,1930,193001,31301,100.95,1930000313011.0,8,24220804901.0,1,2,100.95,1,20,1,100,0,0,56,5600,3,0.0,0.0,0.0,0.0,2.0,1,10,810,105,23
144050,1930,193002,160286,20.99,1930001602862.0,8,24820809902.0,1,2,20.99,2,25,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
152928,1930,193002,162665,20.42,1930001626652.0,8,25220812300.0,1,2,20.42,2,22,1,100,0,0,19,1900,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
