,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE
142328,1930,193002,159849,20.19,1930001598492.0,8,24810808901.0,1,5,20.19,2,15,1,100,0,0,40,4000,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
122902,1930,193002,154550,20.05,1930001545502.0,8,23920803100.0,1,1,20.05,2,42,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,290,679,42
72294,1910,191003,1380203,71.71,1910013802031.0,8,11420803101.0,2,2,71.71,2,42,1,100,0,0,414,41400,5,0.0,5.0,1.0,100.0,2.0,1,10,999,0,0
8011,1880,188002,90040,10.15,,8,,1,4,10.16,2,6,1,100,0,0,8,800,2,,,,,,1,10,999,0,0
89160,1920,192001,1946901,95.21,1920019469011.0,8,16810807702.0,1,2,95.21,2,21,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1,10,999,0,0
32331,1900,190001,56512,19.09,1900000565121.0,8,12110800003.0,1,6,19.09,1,22,1,100,0,0,48,4800,1,0.0,0.0,,,2.0,1,10,820,105,9
74218,1910,191003,1424002,71.71,1910014240021.0,8,11820804100.0,4,10,71.71,1,29,1,100,1,100,200,20000,5,3.0,1.0,12.0,1200.0,1.0,1,10,970,506,20
102490,1930,193002,148362,19.75,1930001483622.0,8,22910800100.0,1,10,19.75,2,4,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
125076,1930,193002,155136,20.05,1930001551362.0,8,24020803102.0,1,1,20.05,1,36,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,290,468,42
58157,1900,190003,999401,101.26,1900009994011.0,8,11910800500.0,1,3,101.26,1,40,1,100,0,0,150,15010,5,4.0,3.0,,,2.0,1,10,290,449,42
41011,1900,190001,58692,20.3,1900000586921.0,8,12520800001.0,1,2,20.3,2,23,1,100,0,0,26,2600,1,0.0,0.0,,,2.0,1,10,999,0,0
50874,1900,190001,61266,20.21,1900000612661.0,8,13010800002.0,1,1,20.21,1,36,1,100,0,0,453,45300,5,2.0,5.0,,,2.0,1,10,650,239,24
110803,1930,193002,150694,19.99,1930001506942.0,8,23210803702.0,1,2,19.99,2,35,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
153665,1930,193002,162864,20.68,1930001628642.0,8,25220812502.0,1,3,20.68,1,17,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
75204,1910,191003,1448401,71.71,1910014484011.0,8,12020805501.0,1,3,71.71,2,18,2,200,0,0,21,2100,1,0.0,0.0,1.0,100.0,2.0,2,20,999,0,0
35044,1900,190001,57173,19.09,1900000571731.0,8,12210800002.0,1,9,19.09,2,1,1,100,0,0,8,800,4,0.0,0.0,,,0.0,1,10,999,0,0
6524,1880,188002,89713,9.95,,8,,1,4,9.95,1,10,1,100,0,0,8,800,1,,,,,,1,10,983,0,0
24768,1900,190001,54528,19.56,1900000545281.0,8,11710800001.0,1,1,19.56,1,35,1,100,0,0,18,1800,4,0.0,0.0,,,0.0,1,10,995,0,0
50981,1900,190001,61290,19.78,1900000612901.0,8,13020800000.0,2,4,19.78,2,20,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1,10,790,836,11
58416,1900,190003,1005701,101.26,1900010057011.0,8,11910800503.0,1,2,101.26,2,35,1,100,0,0,26,2600,1,0.0,0.0,,,2.0,1,10,995,0,0
96119,1930,193001,30868,100.95,1930000308681.0,8,23920803100.0,1,4,100.95,1,2,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
66912,1910,191002,1439601,101.0,1910014396011.0,8,12010804500.0,1,1,101.0,1,64,1,100,0,0,39,3900,1,0.0,0.0,1.0,100.0,2.0,1,10,100,105,14
119448,1930,193002,153239,20.05,1930001532392.0,8,23720803101.0,1,9,20.05,2,55,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1,10,720,826,6
106652,1930,193002,149568,20.42,1930001495682.0,8,23020801301.0,1,3,20.42,2,4,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
137933,1930,193002,158744,20.42,1930001587442.0,8,24610808701.0,1,3,20.42,1,14,1,140,0,0,35,3500,1,0.0,0.0,0.0,0.0,2.0,1,12,999,0,0
37172,1900,190001,57724,19.96,1900000577241.0,8,12320800000.0,1,1,19.96,1,41,1,100,0,0,414,41400,5,2.0,5.0,,,1.0,1,10,100,105,14
116389,1930,193002,152348,20.05,1930001523482.0,8,23520803102.0,1,2,20.05,2,36,1,100,0,0,42,4200,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
125529,1930,193002,155257,20.47,1930001552572.0,8,24110803900.0,1,8,20.47,2,2,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
33237,1900,190001,56718,19.12,1900000567181.0,8,12120800001.0,1,1,19.12,1,50,1,100,0,0,51,5100,1,0.0,0.0,,,2.0,1,10,650,206,24
13734,1880,188002,91754,10.02,,8,,1,2,10.02,2,29,1,100,0,0,55,5500,4,,,,,,1,10,980,0,0
82399,1920,192001,1782901,106.1,1920017829011.0,8,15510800101.0,1,1,106.1,1,27,1,100,0,0,17,1700,1,0.0,0.0,,,2.0,1,10,820,105,9
22987,1880,188002,94448,9.87,,8,,1,1,9.87,1,48,1,100,0,0,150,15000,5,,,,,,1,10,650,239,24
92228,1930,193001,29667,100.95,1930000296671.0,8,22920800300.0,1,1,100.95,1,31,1,100,0,0,20,2000,2,0.0,0.0,0.0,0.0,2.0,1,10,100,105,14
163624,1940,194001,355159,100.0,1940003551591.0,8,579678.0,4,1,100.0,1,42,1,100,0,0,36,3600,4,0.0,,,,,1,10,690,358,23
56291,1900,190002,1081601,101.0,1900010816011.0,8,12810809903.0,1,1,101.0,1,45,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1,10,470,746,35
61463,1900,190003,1075701,109.73,1900010757011.0,8,12720808900.0,1,3,109.73,1,18,1,100,0,0,20,2000,1,0.0,0.0,,,0.0,1,10,995,0,0
145697,1930,193002,160882,20.48,1930001608822.0,8,24920810100.0,1,3,20.48,1,1,1,140,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,12,999,0,0
121857,1930,193002,154179,20.05,1930001541792.0,8,23910803100.0,4,8,20.05,1,44,1,100,0,0,434,43400,5,2.0,5.0,10.0,1000.0,0.0,1,10,564,246,23
52242,1900,190002,989601,100.0,1900009896011.0,8,11710800502.0,2,9,100.0,1,28,2,200,0,0,47,4700,1,0.0,0.0,,,2.0,2,20,4,899,31
4492,1880,188002,89228,9.95,,8,,1,1,9.95,2,52,1,100,0,0,36,3600,4,,,,,,1,10,995,0,0
37827,1900,190001,57860,19.96,1900000578601.0,8,12410800001.0,1,3,19.96,2,23,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1,10,999,0,0
44606,1900,190001,59586,19.12,1900000595861.0,8,12710800002.0,1,1,19.12,1,24,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1,10,290,646,42
45719,1900,190001,59883,19.4,1900000598831.0,8,12720800002.0,1,1,19.4,1,24,1,100,0,0,20,2000,4,0.0,0.0,,,2.0,1,10,542,506,37
57112,1900,190002,1102701,100.0,1900011027011.0,8,13010811902.0,4,11,100.0,1,32,1,100,0,0,39,3900,1,0.0,0.0,,,2.0,1,10,970,0,20
65685,1910,191002,1410601,100.0,1910014106011.0,8,11630803101.0,1,5,100.0,2,17,1,100,0,0,8,800,3,0.0,0.0,1.0,100.0,2.0,1,10,999,0,0
162175,1940,194001,307368,100.0,1940003073681.0,8,520221.0,1,5,100.0,2,51,1,100,0,0,36,3600,0,0.0,,,,,1,10,999,0,0
106962,1930,193002,149649,20.42,1930001496492.0,8,23020801302.0,1,1,20.42,2,71,1,100,0,0,410,41000,5,2.0,5.0,1.0,100.0,2.0,1,10,770,888,19
133472,1930,193002,157584,18.83,1930001575842.0,8,24410806702.0,1,2,18.83,1,26,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,830,105,4
135256,1930,193002,158068,19.91,1930001580682.0,8,24510807101.0,1,4,19.91,2,27,1,100,1,100,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
93886,1930,193001,30156,100.95,1930000301561.0,8,23220803102.0,1,4,100.95,1,1,1,100,0,0,8,800,2,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
133084,1930,193002,157491,18.83,1930001574912.0,8,24410806701.0,1,2,18.83,2,23,1,100,0,0,22,2200,2,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
116546,1930,193002,152397,20.05,1930001523972.0,8,23610803100.0,1,1,20.05,1,59,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,0.0,1,10,290,499,42
67009,1910,191002,1442001,100.0,1910014420011.0,8,12010804701.0,1,5,100.0,1,17,1,100,0,0,8,800,4,0.0,0.0,1.0,100.0,2.0,1,10,999,0,0
84957,1920,192001,1846901,99.91,1920018469011.0,8,16010803101.0,1,2,99.91,2,24,1,100,0,0,8,800,4,0.0,0.0,,,2.0,1,10,999,0,0
65872,1910,191002,1415001,100.0,1910014150011.0,8,11720803100.0,1,1,100.0,2,49,1,100,0,0,55,5500,4,0.0,0.0,1.0,100.0,2.0,1,10,999,0,0
125701,1930,193002,155350,19.95,1930001553502.0,8,24110804301.0,1,2,19.95,2,57,1,100,0,0,55,5500,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
157524,1940,194001,157287,77.0,1940001572871.0,8,51000000.0,1,9,77.0,2,54,1,100,0,0,5,500,0,0.0,,,,,1,10,93,888,27
37973,1900,190001,57890,19.96,1900000578901.0,8,12410800002.0,1,4,19.96,2,18,1,100,0,0,51,5100,1,0.0,0.0,,,2.0,1,10,999,0,0
158263,1940,194001,178451,100.0,1940001784511.0,8,211612.0,1,2,100.0,2,18,1,100,0,0,19,1900,0,0.0,,,,,1,10,999,0,0
7306,1880,188002,89892,10.15,,8,,1,1,10.16,1,29,1,100,0,0,19,1900,1,,,,,,1,10,650,239,24
90515,1920,192001,1977901,104.6,1920019779011.0,8,17020810102.0,1,1,104.6,1,52,1,100,0,0,26,2600,1,0.0,0.0,,,2.0,1,10,999,0,0
152271,1930,193002,162496,20.42,1930001624962.0,8,25210812302.0,1,4,20.42,2,20,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
44131,1900,190001,59465,19.4,1900000594651.0,8,12710800001.0,1,1,19.4,1,26,1,100,0,0,36,3600,4,0.0,0.0,,,2.0,1,10,490,636,24
86320,1920,192001,1880401,99.91,1920018804011.0,8,16220803102.0,1,4,99.91,2,14,1,100,0,0,36,3600,1,0.0,0.0,,,2.0,1,10,999,0,0
126367,1930,193002,155532,19.95,1930001555322.0,8,24110804302.0,1,2,19.95,2,34,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
74295,1910,191003,1426101,71.71,1910014261011.0,8,11820804101.0,1,1,71.71,1,39,1,100,0,0,414,41400,5,4.0,4.0,1.0,100.0,2.0,1,10,490,888,24
78043,1910,191003,1514001,71.71,1910015140011.0,8,12440810101.0,1,3,71.71,2,12,1,100,0,0,17,1700,1,0.0,0.0,1.0,100.0,2.0,1,10,999,0,0
37494,1900,190001,57794,19.96,1900000577941.0,8,12320800001.0,1,1,19.96,1,47,1,100,0,0,150,15080,5,2.0,5.0,,,2.0,1,10,584,326,28
21496,1880,188002,94079,10.02,,8,,1,3,10.02,1,25,1,100,0,0,21,2100,1,,,,,,1,10,820,105,9
107127,1930,193002,149690,20.42,1930001496902.0,8,23020801302.0,1,6,20.42,1,37,1,100,0,0,405,40500,5,2.0,4.0,5.0,500.0,2.0,1,10,950,306,12
17025,1880,188002,92763,10.32,,8,,1,1,10.33,1,39,1,100,0,0,42,4200,1,,,,,,1,10,554,817,30
18904,1880,188002,93347,10.32,,8,,1,1,10.33,1,30,1,100,0,0,26,2600,4,,,,,,1,10,950,306,12
130951,1930,193002,156891,20.47,1930001568912.0,8,24310806302.0,1,8,20.47,2,6,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
164468,1940,194001,380321,100.0,1940003803211.0,8,11132.0,1,4,100.0,1,15,1,100,0,0,8,800,1,0.0,,,,,1,10,999,0,0
150445,1930,193002,162097,20.42,1930001620972.0,8,25120812300.0,1,2,20.42,2,50,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
12084,1880,188002,91318,9.46,,8,,2,8,9.46,1,25,1,100,0,0,24,2400,1,,,,,,1,10,100,105,14
136512,1930,193002,158361,19.91,1930001583612.0,8,24520807101.0,1,6,19.91,1,5,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
158480,1940,194001,185165,100.0,1940001851651.0,8,218333.0,1,2,100.0,2,43,1,100,0,0,8,800,0,0.0,,,,,1,10,999,0,0
137462,1930,193002,158619,20.47,1930001586192.0,8,24610807300.0,1,3,20.47,2,0,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
94110,1930,193001,30225,100.95,1930000302251.0,8,23320803102.0,1,1,100.95,1,64,1,100,0,0,455,45500,5,2.0,5.0,3.0,320.0,2.0,1,10,970,626,20
98775,1930,193001,31636,100.95,1930000316361.0,8,24510807102.0,1,2,100.95,2,21,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
69759,1910,191002,1507301,100.0,1910015073011.0,8,12420810101.0,1,1,100.0,1,25,1,100,0,0,20,2000,1,0.0,0.0,1.0,100.0,2.0,1,10,632,697,27
9589,1880,188002,90621,4.93,,8,,1,4,4.94,1,17,1,100,0,0,20,2000,1,,,,,,1,10,683,526,25
164808,1940,194001,389075,100.0,1940003890751.0,8,17941.0,1,1,100.0,1,31,1,100,0,0,8,800,0,0.0,,,,,1,10,970,246,20
133809,1930,193002,157673,20.42,1930001576732.0,8,24420806900.0,1,1,20.42,2,53,1,100,0,0,19,1900,1,0.0,0.0,0.0,0.0,2.0,1,10,57,888,20
112847,1930,193002,151332,20.05,1930001513322.0,8,23320803101.0,1,4,20.05,1,12,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
162027,1940,194001,302738,100.0,1940003027381.0,8,515557.0,1,6,100.0,1,24,1,100,0,0,8,800,0,0.0,,,,,1,10,480,716,40
126940,1930,193002,155714,19.82,1930001557142.0,8,24120804101.0,1,3,19.82,2,59,1,100,0,0,150,15010,5,2.0,5.0,1.0,100.0,2.0,1,10,999,0,0
164738,1940,194001,387673,100.0,1940003876731.0,8,7875.0,1,3,100.0,1,18,1,100,1,100,8,800,1,0.0,,,,,1,10,790,916,11
14710,1880,188002,92151,5.01,,8,,1,2,5.01,2,27,1,100,0,0,421,42100,5,,,,,,1,10,995,0,0
143714,1930,193002,160218,20.99,1930001602182.0,8,24820809901.0,1,3,20.99,2,13,1,100,0,0,39,3900,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
46512,1900,190001,60048,19.57,1900000600481.0,8,12820800000.0,1,2,19.57,2,26,1,100,0,0,26,2600,1,0.0,0.0,,,2.0,1,10,999,0,0
33695,1900,190001,56849,19.4,1900000568491.0,8,12120800002.0,1,3,19.4,1,29,1,100,0,0,29,2900,1,0.0,0.0,,,2.0,1,10,624,506,36
30126,1900,190001,55951,19.56,1900000559511.0,8,12010800001.0,1,3,19.56,1,3,1,100,0,0,8,800,4,0.0,0.0,,,0.0,1,10,999,0,0
137964,1930,193002,158752,20.42,1930001587522.0,8,24610808701.0,1,2,20.42,2,46,1,100,0,0,31,3100,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
133640,1930,193002,157627,20.42,1930001576272.0,8,24420806900.0,1,4,20.42,1,68,1,100,0,0,54,5400,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
114447,1930,193002,151796,20.05,1930001517962.0,8,23420803101.0,1,2,20.05,1,64,1,100,0,0,39,3900,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
54969,1900,190002,1050601,100.0,1900010506011.0,8,12420805501.0,1,2,100.0,2,42,1,100,1,100,35,3500,1,0.0,0.0,,,1.0,1,10,995,0,0
159858,1940,194001,229957,100.0,1940002299571.0,8,262317.0,1,2,100.0,2,34,1,100,0,0,8,800,0,0.0,,,,,1,10,999,0,0
144958,1930,193002,160661,20.48,1930001606612.0,8,24910810101.0,1,5,20.48,2,9,1,140,1,100,200,20000,5,3.0,1.0,12.0,1200.0,0.0,1,12,999,0,0
122385,1930,193002,154398,20.05,1930001543982.0,8,23910803101.0,1,1,20.05,1,34,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1,10,48,348,48
80763,1910,191003,21150901,71.71,1910211509011.0,8,12610812301.0,1,1,71.71,2,60,1,100,0,0,18,1800,1,0.0,0.0,1.0,100.0,2.0,1,10,999,0,0
152207,1930,193002,162484,20.42,1930001624842.0,8,25210812302.0,1,3,20.42,1,14,1,100,0,0,465,46500,5,3.0,2.0,2.0,200.0,2.0,1,10,999,0,0
139476,1930,193002,159113,19.99,1930001591132.0,8,24620807902.0,1,1,19.99,1,61,1,100,0,0,26,2600,1,0.0,0.0,0.0,0.0,0.0,1,10,650,206,24
42100,1900,190001,58994,19.12,1900000589941.0,8,12610800001.0,1,1,19.12,1,42,1,100,0,0,5,500,1,0.0,0.0,,,2.0,1,10,100,105,14
72218,1910,191003,1378805,71.71,1910013788051.0,8,11420803100.0,4,1,71.71,1,21,1,100,0,0,31,3100,1,0.0,0.0,1.0,100.0,2.0,1,10,674,307,17
92276,1930,193001,29679,100.95,1930000296791.0,8,22920800901.0,1,4,100.95,1,15,1,100,0,0,20,2000,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
3665,1880,188002,88932,9.95,,8,,4,2,9.95,1,47,1,100,0,0,12,1200,1,,,,,,1,10,995,0,0
157967,1940,194001,170772,100.0,1940001707721.0,8,201519.0,1,3,100.0,1,18,1,100,0,0,31,3100,2,0.0,,,,,1,10,550,816,27
12833,1880,188002,91484,9.46,,8,,1,3,9.46,1,15,1,100,0,0,150,15040,5,,,,,,1,10,995,0,0
4298,1880,188002,89182,9.95,,8,,4,2,9.95,2,41,1,100,0,0,150,15040,5,,,,,,1,10,995,0,0
20268,1880,188002,93716,5.17,,8,,1,8,5.17,2,1,1,100,1,100,8,800,1,,,,,,1,10,999,0,0
129274,1930,193002,156465,19.99,1930001564652.0,8,24220804500.0,2,2,19.99,2,62,1,100,0,0,17,1700,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
104861,1930,193002,149006,19.99,1930001490062.0,8,22920801902.0,1,2,19.99,2,33,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
134828,1930,193002,157952,20.42,1930001579522.0,8,24510806900.0,1,2,20.42,1,19,1,100,0,0,20,2000,1,0.0,0.0,0.0,0.0,2.0,1,10,390,419,25
23673,1880,188002,94734,5.01,,8,,4,1,5.01,1,37,1,100,1,100,200,20000,5,,,,,,1,10,595,916,11
140539,1930,193002,159402,20.08,1930001594022.0,8,24710807702.0,1,4,20.08,2,17,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,490,698,24
158912,1940,194001,195924,100.0,1940001959241.0,8,230097.0,1,3,100.0,2,7,1,100,0,0,8,800,0,0.0,,,,,1,10,999,0,0
136341,1930,193002,158319,19.91,1930001583192.0,8,24520807100.0,1,1,19.91,1,45,1,100,0,0,39,3900,1,0.0,0.0,0.0,0.0,2.0,1,10,544,358,32
144971,1930,193002,160665,20.48,1930001606652.0,8,24910810101.0,1,6,20.48,2,18,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
14500,1880,188002,92076,10.02,,8,,1,1,10.02,1,37,1,100,0,0,36,3600,1,,,,,,1,10,650,239,24
40802,1900,190001,58640,20.3,1900000586401.0,8,12520800001.0,4,15,20.3,1,29,1,100,0,0,34,3400,4,0.0,0.0,,,2.0,1,10,310,0,22
112199,1930,193002,151132,20.05,1930001511322.0,8,23310803101.0,1,3,20.05,2,20,1,100,0,0,8,800,2,0.0,0.0,0.0,0.0,2.0,1,10,490,646,24
117170,1930,193002,152584,20.05,1930001525842.0,8,23610803101.0,1,5,20.05,2,1,1,100,0,0,8,800,3,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
34712,1900,190001,57092,18.62,1900000570921.0,8,12210800001.0,1,1,18.62,1,48,1,100,0,0,35,3500,1,0.0,0.0,,,1.0,1,10,970,317,20
61369,1900,190003,1073901,107.13,1900010739011.0,8,12710808502.0,1,1,107.13,1,42,1,100,0,0,36,3600,1,0.0,0.0,,,2.0,1,10,290,716,42
103662,1930,193002,148725,19.33,1930001487252.0,8,22920800300.0,1,3,19.33,1,16,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
99347,1930,193001,31774,100.95,1930000317741.0,8,24610808702.0,1,3,100.95,1,16,1,100,4,420,300,30005,5,3.0,2.0,2.0,200.0,2.0,1,10,999,0,0
42082,1900,190001,58990,19.12,1900000589901.0,8,12610800001.0,1,2,19.12,2,17,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1,10,999,0,0
35663,1900,190001,57334,19.4,1900000573341.0,8,12220800000.0,1,2,19.4,2,23,1,100,0,0,150,15080,5,0.0,3.0,,,2.0,1,10,999,0,0
161772,1940,194001,294299,100.0,1940002942991.0,8,509862.0,1,1,100.0,2,24,1,100,0,0,36,3600,4,0.0,,,,,1,10,390,896,25
47997,1900,190001,60413,19.57,1900000604131.0,8,12820800003.0,1,2,19.57,2,37,1,100,0,0,453,45300,5,0.0,3.0,,,2.0,1,10,999,0,0
43233,1900,190001,59244,19.56,1900000592441.0,8,12610800003.0,1,3,19.56,2,8,1,130,1,100,8,800,1,0.0,0.0,,,0.0,1,12,999,0,0
99605,1930,193001,31842,100.95,1930000318421.0,8,24710807700.0,1,3,100.95,2,8,1,100,0,0,8,800,3,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
5081,1880,188002,89430,9.95,,8,,1,5,9.95,2,10,1,100,0,0,18,1800,1,,,,,,1,10,983,0,0
94623,1930,193001,30368,100.95,1930000303681.0,8,23510803101.0,1,4,100.95,1,15,1,100,0,0,6,600,1,0.0,0.0,0.0,0.0,0.0,1,10,690,456,23
112530,1930,193002,151235,20.05,1930001512352.0,8,23320803100.0,1,8,20.05,2,23,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,490,698,24
104414,1930,193002,148900,18.13,1930001489002.0,8,22920800901.0,1,3,18.13,1,20,1,100,0,0,40,4000,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
21937,1880,188002,94192,10.34,,8,,1,1,10.34,1,35,1,100,0,0,22,2200,4,,,,,,1,10,501,817,25
160937,1940,194001,262556,100.0,1940002625561.0,8,299768.0,1,2,100.0,2,61,1,100,0,0,31,3100,4,0.0,,,,,1,10,999,0,0
115366,1930,193002,152065,20.05,1930001520652.0,8,23510803100.0,1,6,20.05,2,46,1,100,0,0,31,3100,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
1470,1880,188001,622101,72.25,1880006221011.0,8,8920802101.0,1,1,72.25,1,43,1,100,0,0,414,41400,5,,,,,,1,10,591,346,32
126948,1930,193002,155718,19.82,1930001557182.0,8,24120804101.0,1,2,19.82,2,29,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
69819,1910,191002,1508503,100.0,1910015085031.0,8,12430810100.0,4,1,100.0,1,36,1,100,0,0,24,2400,1,0.0,0.0,1.0,100.0,2.0,1,10,290,679,42
94581,1930,193001,30359,100.95,1930000303591.0,8,23510803101.0,1,5,100.95,2,10,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
16716,1880,188002,92672,9.95,,8,,1,7,9.95,1,60,1,100,0,0,50,5000,1,,,,,,1,10,820,105,9
13033,1880,188002,91537,9.46,,8,,1,3,9.46,1,26,1,100,0,0,17,1700,1,,,,,,1,10,970,0,20
115455,1930,193002,152090,20.05,1930001520902.0,8,23510803101.0,1,7,20.05,1,1,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
45706,1900,190001,59877,19.4,1900000598771.0,8,12720800002.0,1,2,19.4,2,32,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1,10,999,0,0
47948,1900,190001,60405,19.57,1900000604051.0,8,12820800003.0,1,3,19.57,1,19,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1,10,999,0,0
132896,1930,193002,157440,18.83,1930001574402.0,8,24410806700.0,1,2,18.83,2,20,1,140,1,100,35,3500,1,0.0,0.0,0.0,0.0,1.0,1,12,999,0,0
6157,1880,188002,89644,9.95,,8,,4,3,9.95,2,3,1,100,0,0,27,2700,1,,,,,,1,10,999,0,0
89355,1920,192001,1951701,90.72,1920019517011.0,8,16820808701.0,1,1,90.72,1,32,1,100,0,0,19,1900,2,0.0,0.0,,,2.0,1,10,920,816,16
124821,1930,193002,155061,20.05,1930001550612.0,8,24020803101.0,1,3,20.05,2,18,1,100,0,0,20,2000,1,0.0,0.0,0.0,0.0,2.0,1,10,370,578,21
25767,1900,190001,54817,19.56,1900000548171.0,8,11710800003.0,1,8,19.56,2,15,1,100,0,0,8,800,4,0.0,0.0,,,2.0,1,10,983,0,0
4690,1880,188002,89266,9.95,,8,,1,4,9.95,2,16,1,100,0,0,453,45300,5,,,,,,1,10,720,826,6
155794,1940,194001,92292,26.0,1940000922921.0,8,119842.0,1,15,26.0,1,1,1,100,0,0,8,800,0,0.0,,,,,1,10,999,0,0
80883,1910,191003,25535901,71.71,1910255359011.0,8,11210800702.0,1,2,71.71,1,28,1,100,0,0,55,5500,2,0.0,0.0,1.0,100.0,2.0,1,10,970,307,20
67057,1910,191002,1443201,100.0,1910014432011.0,8,12010804701.0,2,1,100.0,1,25,1,100,0,0,37,3700,1,0.0,0.0,1.0,100.0,2.0,1,10,810,105,23
79583,1910,191003,21118101,71.71,1910211181011.0,8,11520803101.0,1,1,71.71,1,39,1,100,0,0,548,54800,5,4.0,2.0,1.0,100.0,2.0,1,10,999,0,0
152833,1930,193002,162639,20.42,1930001626392.0,8,25220812300.0,1,4,20.42,1,17,1,100,0,0,8,800,2,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
97502,1930,193001,31299,100.95,1930000312991.0,8,24220804701.0,1,2,100.95,2,32,1,100,0,0,8,800,2,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
97091,1930,193001,31178,100.95,1930000311781.0,8,24120804102.0,1,3,100.95,2,18,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
123543,1930,193002,154753,20.05,1930001547532.0,8,23920803102.0,1,2,20.05,2,24,1,100,0,0,17,1700,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
123831,1930,193002,154819,20.05,1930001548192.0,8,24010803100.0,1,5,20.05,1,7,1,100,0,0,8,800,2,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
29549,1900,190001,55814,19.56,1900000558141.0,8,11920800000.0,1,2,19.56,2,37,1,100,0,0,405,40500,5,0.0,5.0,,,2.0,1,10,999,0,0
12562,1880,188002,91429,9.46,,8,,1,3,9.46,2,5,1,100,0,0,17,1700,4,,,,,,1,10,999,0,0
