Term,Crime,Nationality,File,Year
2-5,B,US,3,1900
2-5,B,US,3,1900
2,L,US,3,1900
3-6,B,B,3,1900
4-7,B,E,3,1900
1-1.67,L,US,3,1900
6-7,B,G,3,1900
1-3,L,IR,4,1900
1.5-6,F,US,4,1900
7,F,US,4,1900
5,E,US,4,1900
18,M,US,4,1900
7,L,US,4,1900
3,L,B,4,1900
5,AIK,B,4,1900
5,R,US,4,1900
2-7,F,US,4,1900
4-6,B,US,4,1900
1.5-3,F,US,4,1900
3-7,L,US,4,1900
5-14,R,US,4,1900
3-6,B,US,4,1900
5-10,RA,US,4,1900
1-3,B,US,4,1900
L,M,B,4,1900
99,M,M,4,1900
10,R,US,4,1900
4,B,US,4,1900
10,M,Swiss,4,1900
5,R,US,4,1900
5,L,US,4,1900
1.33-2.5,L,US,4,1900
1-2,BI,US,4,1900
3-5,L,US,4,1900
5-8,M,M,4,1900
1-5,AIK,B,4,1900
3-5,B & L,US,4,1900
1-3,R,B,4,1900
10-14,AIR,IR,4,1900
1,E (OF LETTER),US,4,1900
14,Obstructing of Railroad Track,US,4,1900
20,AIROB,US,4,1900
10,R,US,4,1900
L,M,US,4,1900
8,F,US,4,1900
10,RA,B,4,1900
8,R,US,4,1900
3,B,US,4,1900
3,B,US,4,1900
16-28,R,US,4,1900
1.17,F,US,4,1900
3-6,RSG,US,5,1900
7-10,R,US,5,1900
13-14,AIK,B,5,1900
1-2,B & L,US,5,1900
3-3.5,L,M,5,1900
2.5-5,B,E,5,1900
1-6,R,US,5,1900
L,M,US,5,1900
L,M,B,5,1900
40,RA & I,US,5,1900
16,L,US,5,1900
8,F,US,5,1900
L,M,US,5,1900
12,R,US,5,1900
14,AIR,B,5,1900
10,L,B,5,1900
7,R,US,5,1900
20,RA,E,5,1900
8,RA,B,5,1900
14,AIROB,US,5,1900
5,R,US,5,1900
6.5,B,US,5,1900
5,B,B,5,1900
5,B,US,5,1900
L,M,B,5,1900
8,B,US,5,1900
5,B,US,5,1900
3,L,US,5,1900
5,L,US,5,1900
L,M,US,5,1900
3,R,US,5,1900
3,AIK,US,5,1900
12,AIK,B,5,1900
L,M,US,5,1900
20,M,IR,5,1900
5,L,US,5,1900
L,M,US,5,1900
2,B,B,5,1900
4-14,RA,IR,5,1900
6-9,B,US,5,1900
12-14,R,C,5,1900
8,B,US,5,1900
1-3,AIROB,E,5,1900
2-5,RSG,Swiss,5,1900
1-3,L,US,6,1900
1-3,L,US,6,1900
3-5,R,US,6,1900
8-10,R,US,6,1900
1-3,LFP,US,6,1900
3-5,L,B,6,1900
1-5,B & L,US,6,1900
2-3,L,US,6,1900
L,M,B,6,1900
10,AIK,B,6,1900
6,AIROB,E,6,1900
10,B,US,6,1900
10,M,US,6,1900
2,F,US,6,1900
1-4,B,B,6,1900
2-5,L,US,6,1900
3-4,L,US,6,1900
3-5,L,US,6,1900
3-5,L,US,6,1900
9-11.08,L,US,6,1900
10-15,M,US,6,1900
3-5,F,US,6,1900
3-5,B,B,6,1900
1-2,L,US,6,1900
1-2,L,US,6,1900
5-8,L,G,6,1900
L,M,US,6,1900
L,M,G,6,1900
13,M,Japan,6,1900
10,Train Wrecking,US,6,1900
10,RA,US,6,1900
3,R,US,6,1900
10-14,AIK,US,6,1900
3-10,R,US,6,1900
3-7,L,US,6,1900
1-1.5,L,US,6,1900
5-6,B,US,6,1900
2-4,B,US,6,1900
1.5-3,K,IR,6,1900
6-7,B,US,6,1900
1-10,L,D,6,1900
2.5-4,L,US,6,1900
1.25,F,US,6,1900
L,M,M,6,1900
L,M,M,7,1900
4,F,IR,7,1900
8,RA,B,7,1900
20,RA,US,7,1900
18,M,E,7,1900
2,Administering Poison,E,7,1900
9-14,B,US,7,1900
30-40,M,M,7,1900
4-6,B,G,7,1900
3.83-6,L,B,7,1900
1,L,E,7,1900
6-10,R,M,7,1900
2-3,B & L,B,7,1900
3-5,L,US,7,1900
1-2,B & L,US,7,1900
7-8,F,US,7,1900
L,M,M,7,1900
21,M,M,7,1900
L,M,M,7,1900
10,M,S,7,1900
L,M,M,7,1900
45,M,M,7,1900
14,AIK,US,7,1900
12,R,US,7,1900
12,I,Austria,7,1900
14,RA,US,7,1900
8,R,US,7,1900
12,B,US,7,1900
L,M,E,7,1900
9,B,US,7,1900
L,M,US,7,1900
10,B,US,7,1900
9.5,L,US,7,1900
5,R,US,7,1900
16,RA,US,7,1900
8,R,US,7,1900
6,M,US,7,1900
6,AIR,US,7,1900
14,AIROB,US,7,1900
10,AIK,US,7,1900
3,B,US,7,1900
3,AIR,M,7,1900
3,L,B,7,1900
5,R,US,7,1900
1-2,B,B,8,1900
2-3.5,Felony,US,8,1900
3-10,F,US,8,1900
1.5-2,F,US,8,1900
L,M,US,8,1900
16,RA,G,8,1900
4,C,US,8,1900
5,F,US,8,1900
5,RA,US,8,1900
1,F,US,8,1900
40,MA,US,8,1900
L,M,E,8,1900
L,M,IR,8,1900
8,M,US,8,1900
4.75,B,B,8,1900
L,M,B,8,1900
20,I,US,8,1900
6,Sodomy,US,8,1900
10,B,US,8,1900
99,M,M,8,1900
5.5,AIK,Austria,8,1900
6.5,FP,US,8,1900
14,AIROB,US,8,1900
L,M,US,8,1900
10,B,US,8,1900
14,R,US,8,1900
L,M,W,8,1900
5,E,US,8,1900
10,M,US,8,1900
1-3,B,US,8,1900
16-28,R,US,8,1900
3-5,L,US,8,1900
8-10,R,US,8,1900
L,M,IR,8,1900
L,M,Austria,8,1900
15,M,IR,8,1900
21,M,US,8,1900
8,M,US,8,1900
18,RA,I,8,1900
4.5,M,US,8,1900
4,L,US,8,1900
5,B,US,8,1900
7,R,B,8,1900
2,B,US,8,1900
2-5,L,US,9,1900
4-10,L,US,9,1900
3-6,R,US,9,1900
3-6,B,US,9,1900
4-6,R,US,9,1900
1-3,L,M,9,1900
4-8,M,US,9,1900
1-1.04,L,US,9,1900
4-5,L,B,9,1900
5-10,RA,US,9,1900
3.5-8,R,US,9,1900
40,RA,B,9,1900
15,Sodomy,US,9,1900
L,M,US,9,1900
L,M,M,9,1900
14,AIR,US,9,1900
6,B & L,US,9,1900
5,M,SW,9,1900
5,R,US,9,1900
15,M,US,9,1900
L,M,M,9,1900
3,R,G,9,1900
6,R,C,9,1900
6.5,B & L,US,9,1900
15,M,US,9,1900
6,AIK,US,9,1900
3,B,US,9,1900
21,M,US,9,1900
3,AIK,US,9,1900
6,B,B,9,1900
5,B,B,9,1900
5,Conspiracy,US,9,1900
12,M,US,9,1900
4,L,US,9,1900
L,M,US,9,1900
2.5,B,D,9,1900
3,F,B,9,1900
3,B & L,G,9,1900
2.5,B & L,US,9,1900
3-5,AIR,M,9,1900
3-10,R,US,9,1900
1.5-3,L,US,9,1900
6-15,RA,US,9,1900
25-40,M,US,9,1900
2-3,B & L,G,10,1900
2-3,F,US,10,1900
5-8,B & L,E,10,1900
2-5,B,US,10,1900
20-L,M,US,10,1900
L,M,M,10,1900
1-3,L,US,10,1900
1,L,Swiss,10,1900
1-2,MM,US,10,1900
2-5,B,US,10,1900
2-4,L,E,10,1900
1-10,AIK,M,10,1900
L,M,M,10,1900
10,R,US,10,1900
8,M,US,10,1900
8,AIR,US,10,1900
5,L,US,10,1900
5,R,US,10,1900
3,B & L,US,10,1900
3,L,C,10,1900
3,B,US,10,1900
2.5,F,US,10,1900
3,RA,G,10,1900
2,RSG,US,10,1900
3,L,F,10,1900
3-10,B & L,US,10,1900
2-8,MA,US,10,1900
1-3,B & L,US,10,1900
5,RA,US,10,1900
L,M,M,10,1900
4-6,L,US,10,1900
5-12,AIK,C,10,1900
1-1.5,P,E,10,1900
L,M,US,10,1900
8,B,US,10,1900
10,B,US,10,1900
3,L,US,10,1900
14,RA,US,10,1900
14-21,M,US,10,1900
1.5-3,C,US,10,1900
1.25,F,US,10,1900
25,M,US,10,1900
8,R,US,10,1900
8,AIK,US,10,1900
6,B,US,11,1900
5,R,US,11,1900
5,B,C,11,1900
5,RA,US,11,1900
5,B,B,11,1900
4.5,L,US,11,1900
3,B & L,B,11,1900
14,AIK,US,11,1900
5,B & L,B,11,1900
3,L,US,11,1900
3,L,B,11,1900
3,AIK,US,11,1900
1-2,RSG,Swiss,11,1900
1-3,L,US,11,1900
1-3,F,B,11,1900
2-5,L,B,11,1900
4-6,L,US,11,1900
1-2,B & L,B,11,1900
20-25,M,Austria,11,1900
